state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
PUNJAB,Faridkot,EXCELLENT SOLAR KOTKAPURA,:,,EXCELLENTSOLARKKP@GMAIL.COM,7719652727,117,503,2026-02-08T16:16:47.025153
PUNJAB,Faridkot,PANJAB SOLAR,:,,Panjabsolar@gmail.com,7657876478,43,263,2026-02-08T16:16:48.777491
PUNJAB,Faridkot,KISSAN SOLARS,,,KISSANSOLARS@GMAIL.COM,9814570274,43,237,2026-02-08T16:16:50.523399
PUNJAB,Faridkot,NAV ENGINEERING SERVICES,,,nespunjab@gmail.com,9876599099,33,160,2026-02-08T16:16:51.652309
PUNJAB,Faridkot,GREEN ENERGY & ORGANICS,,,org59@gmail.com,9173600000,33,134,2026-02-08T16:16:52.720314
PUNJAB,Faridkot,KANSAL ELECTRONICS & SOLAR WORLD,,,kansalsolar@gmail.com,9356925880,28,135,2026-02-08T16:16:54.120392
PUNJAB,Faridkot,SUPREME SOLAR POWER,,,SUPREMESOLARPOWER663@GMAIL.COM,8804669000,23,104,2026-02-08T16:16:55.341681
PUNJAB,Faridkot,SHEIKH FARID SOLAR SYSTEM,,,SHEIKHFARIDSOLARPOWER@GMAIL.COM,8198000299,22,104,2026-02-08T16:16:56.394329
PUNJAB,Faridkot,VINAYAK SOLAR HUB & ELECTRONICS,:,,VINAYGARG382@GMAIL.COM,9814161770,15,67,2026-02-08T16:16:57.793569
PUNJAB,Faridkot,APEX SOLAR ENERGY,,,APEXJAITU1234@GMAIL.COM,9041400462,13,62,2026-02-08T16:16:59.390459
PUNJAB,Faridkot,B.S ENERGY,,,ENERGY@GMAIL.COM,9888100312,12,48,2026-02-08T16:17:00.423514
