state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
RAJASTHAN,Beawar,KESHAV CONSTRUCTIONS,,,keshavconst3@gmail.com,8439213000,163,558,2026-02-08T16:45:36.173516
RAJASTHAN,Beawar,POWER INDIA SOLAR,,,pisolar10@gmail.com,8952812158,113,446,2026-02-08T16:45:37.621937
RAJASTHAN,Beawar,SOLIS POWER SOLUTIONS,,,PROJECTS@SOLISPOWER.IN,9785654000,110,433,2026-02-08T16:45:39.095001
RAJASTHAN,Beawar,SHREE NATH SOLAR ENERGY,,,shreenathsolarenergy@gmail.com,9664069150,94,289,2026-02-08T16:45:40.756289
RAJASTHAN,Beawar,MILAN SOUR URJA KENDRA,,,mmilansolar@gmail.com,7877057615,84,316,2026-02-08T16:45:42.007626
RAJASTHAN,Beawar,SUN PRISE ENTERPRISES,,,solarsunprise@gmail.com,9660629304,78,272,2026-02-08T16:45:43.621558
RAJASTHAN,Beawar,MATRA KRIPA SERVICES,,,anilnarwal79@gmail.com,9269661111,76,299,2026-02-08T16:45:45.223355
RAJASTHAN,Beawar,SMART SUN POWER,,,indiansmartsunpower@gmail.com,7240004188,71,270,2026-02-08T16:45:46.875205
RAJASTHAN,Beawar,ALISHA SOLAR SOLUTION,:,,alishaelectricals086@gmail.com,9166716699,68,281,2026-02-08T16:45:48.439300
RAJASTHAN,Beawar,RONAK SOLAR ENTERPRISES,,,ronaksolar@gmail.com,8290565371,39,146,2026-02-08T16:45:50.311646
RAJASTHAN,Beawar,PANKAJ ELECTRICAL & SPAIRS,,,pankajsolarbwr@gmail.com,9461286835,35,106,2026-02-08T16:45:52.001781
RAJASTHAN,Beawar,SUNRISE SOLAR SALE & SERVICES,,,tc@gmail.com,7737401410,24,110,2026-02-08T16:45:53.468109
RAJASTHAN,Beawar,SUNCITY SOLAR TECHNOLOGY SOLAR WALA,,,solarwalababa@gmail.com,9782255582,22,77,2026-02-08T16:45:54.976946
RAJASTHAN,Beawar,TRAURJA SOLUTIONS LLP,:,,traurja@gmail.com,9717945951,18,73,2026-02-08T16:45:56.475952
RAJASTHAN,Beawar,NEOTERIX SOLUTION PVT. LTD.,:,,neoterixsolutions@gmail.com,9414010579,15,64,2026-02-08T16:45:58.127864
RAJASTHAN,Beawar,VERSHA ELECTRICALS,,,vershaelectricals@gmail.com,9799947295,14,44,2026-02-08T16:45:59.523223
RAJASTHAN,Beawar,MAHAGURU MARKETING,,,madhavmaheshwari1992@gmail.com,9414415624,14,47,2026-02-08T16:46:00.905756
RAJASTHAN,Beawar,NAMA BATTERIES AND SOLAR POWER,,,namasolarenergy@gmail.com,9413322667,13,51,2026-02-08T16:46:02.475441
RAJASTHAN,Beawar,M/S BALAJI ELECTRICALS,,,balajisolarasd@gmail.com,8000848024,13,45,2026-02-08T16:46:03.929037
RAJASTHAN,Beawar,PANSEN INFRASTRUCTURE PRIVATE LIMITED,,,panseninfrastructure@gmail.com,9799912727,12,42,2026-02-08T16:46:05.461348
