state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
MAHARASHTRA,Gadchiroli,SOLARPIX ENERGY.PVT.LTD,,,solarpix@gmail.com,9096941011,331,1224,2026-02-08T12:48:50.440324
MAHARASHTRA,Gadchiroli,ABHAYTARA SOLAR,,,abhaytara121@gmail.com,9372344678,227,833,2026-02-08T12:48:51.883848
MAHARASHTRA,Gadchiroli,ECE INDIA ENERGIES PRIVATE LIMITED,,,nationalportal@eceindia.com,9146019181,155,549,2026-02-08T12:48:53.464976
MAHARASHTRA,Gadchiroli,AMAVARI ELECTRICALS,,,amavarisolar@gmail.com,9028362777,117,411,2026-02-08T12:48:55.156571
MAHARASHTRA,Gadchiroli,AB ENTERPRISES,,,office@gmail.com,9284587645,93,328,2026-02-08T12:48:56.816281
MAHARASHTRA,Gadchiroli,SUNPHASE ENERGY PRIVATE LIMITED,,,sunphaseenergy000@gmail.com,8983171289,83,266,2026-02-08T12:48:58.547340
MAHARASHTRA,Gadchiroli,GREEN LIFE SOLUTIONS PRIVATE LIMITED,:,,info@greenlifesolution.in,7447445082,78,283,2026-02-08T12:49:00.090947
MAHARASHTRA,Gadchiroli,GEETA POWER SYSTEMS,,,awasarenitesh11@gmail.com,8329976180,69,258,2026-02-08T12:49:01.486622
MAHARASHTRA,Gadchiroli,RDC INFOTECH NAGPUR,,,rdcinfotech05@gmail.com,9960464746,60,222,2026-02-08T12:49:03.118581
MAHARASHTRA,Gadchiroli,LIGHT HOUSE,,,lighthouses@gmail.com,9890500413,58,216,2026-02-08T12:49:04.201738
MAHARASHTRA,Gadchiroli,N B ENTERPRISES,,,nitinbattuwar@gmail.com,9168070222,56,222,2026-02-08T12:49:05.671967
MAHARASHTRA,Gadchiroli,NANDINI INFRA CREATIONS,,,nicreations2014@gmail.com,9422852063,50,186,2026-02-08T12:49:07.093345
MAHARASHTRA,Gadchiroli,SILICON MULTISERVICE,,,siliconmultiservice@gmail.com,7798005786,49,195,2026-02-08T12:49:08.632178
MAHARASHTRA,Gadchiroli,COALCITY SOLAR,,,coalcitysolar@gmail.com,7020278740,41,171,2026-02-08T12:49:10.152834
MAHARASHTRA,Gadchiroli,TECH FORCE SERVICES,:,,techforceservices@gmail.com,7887888754,40,153,2026-02-08T12:49:11.830197
MAHARASHTRA,Gadchiroli,P 2 P,,,mailp2pgroup@gmail.com,9422957910,39,145,2026-02-08T12:49:13.333818
MAHARASHTRA,Gadchiroli,TIRUPATI BALAJI SYSTEMS.,,,systems@gmail.com,9822697086,36,132,2026-02-08T12:49:14.890497
MAHARASHTRA,Gadchiroli,NCA INFRASTRUCTURE,,,amolt7835@gmail.com,8432179456,31,108,2026-02-08T12:49:16.401546
MAHARASHTRA,Gadchiroli,ANYTIME ENTERPRSES,,,abhijeetpatil0811@gmail.com,8421341253,29,98,2026-02-08T12:49:18.077850
MAHARASHTRA,Gadchiroli,SUNRISE AKSHAY URJA SHOP,,,amarbangde@yahoo.co,9325171868,28,108,2026-02-08T12:49:19.100913
MAHARASHTRA,Gadchiroli,OSATECH,,,prashantgaoture@gmail.com,8237735160,28,95,2026-02-08T12:49:28.142214
MAHARASHTRA,Gadchiroli,PAR ENTERPRISES,,,hemkesolar@gmail.com,8982525898,26,87,2026-02-08T12:49:29.823400
MAHARASHTRA,Gadchiroli,AAKAR ENERGY SOLUTION,,,aakarenergysolution@gmail.com,7089090609,26,92,2026-02-08T12:49:31.441971
MAHARASHTRA,Gadchiroli,SUNTECH SOLAR AGENCY GONDPIPRI,,,archanaagenciesgo@gmail.com,7020280894,25,86,2026-02-08T12:49:32.945056
MAHARASHTRA,Gadchiroli,RADHE ENGINEERING AND ENERGY CONTRACTOR PVT. LTD.,,,mohimmistry077@gmail.com,9145226723,22,57,2026-02-08T12:49:34.588808
MAHARASHTRA,Gadchiroli,H.V.ELECTRICALS,,,hvelectricals@rediffmail.com,8600135700,22,74,2026-02-08T12:49:36.095721
MAHARASHTRA,Gadchiroli,SHREEJEE TRADING COMPANY,,,pambani2601@gmail.com,7020446249,20,65,2026-02-08T12:49:37.855665
MAHARASHTRA,Gadchiroli,OM CHAITANYA PARABRAHMA SOLAR ENERGIES(OPC) PRIVATE LIMITED,,,PATRESOLAR@GMAIL.COM,9404129980,19,68,2026-02-08T12:49:39.112670
MAHARASHTRA,Gadchiroli,"M/S. GAYATRI ELECTRICALS, ARMORI",,,sandipsorate084@Gmail.com,9420846140,19,73,2026-02-08T12:49:40.555321
MAHARASHTRA,Gadchiroli,R S BATTERY AND INVERTER,,,rsbattery98@gmail.com,9823541810,18,76,2026-02-08T12:49:42.208449
MAHARASHTRA,Gadchiroli,MRB SOLAR ENTERPRISES,,,balpande@gmail.com,7038558408,17,52,2026-02-08T12:49:43.791963
MAHARASHTRA,Gadchiroli,"M/S. ANKUSH ENTERPRISES, VISORA",,,ankushdhore5732@gmail.com,9325834275,16,54,2026-02-08T12:49:45.355598
MAHARASHTRA,Gadchiroli,AMPLE ENERGY SOLAR SOLUTIONS OPC PVT LTD,:,,ampleenergysolar@gmail.com,9096866243,14,69,2026-02-08T12:49:47.151931
MAHARASHTRA,Gadchiroli,SONSARE INDUSTRIES,:,,sonsareindustries@gmail.com,9595165060,13,45,2026-02-08T12:49:48.607096
MAHARASHTRA,Gadchiroli,S Y SOLAR SERVICES,,,sysolarservices@gmail.com,7020251768,13,54,2026-02-08T12:49:50.153001
MAHARASHTRA,Gadchiroli,MAIVED SOLAR,,,maivedsolar@gmail.com,7020992023,13,49,2026-02-08T12:49:51.964751
MAHARASHTRA,Gadchiroli,INDUCTRACK PRIVATE LIMITED,,,inductracksolar@gmail.com,7028870759,13,48,2026-02-08T12:49:53.471103
MAHARASHTRA,Gadchiroli,GREATSUN,,,greatsun0915@gmail.com,7517847039,13,42,2026-02-08T12:49:54.986614
MAHARASHTRA,Gadchiroli,SUNLIGHT ELECTRICAL & SOLAR,,,sunlightelectrical580@gmail.com,9356237735,12,39,2026-02-08T12:49:56.589245
MAHARASHTRA,Gadchiroli,DHANLAXMI ENTERPRISES,,,ajaychim1971@gmail.com,7974871469,12,46,2026-02-08T12:49:58.004925
MAHARASHTRA,Gadchiroli,MIRAYA ENERGY PRIVATE LIMITED,,,arvind@mirayaenergy.in,9423116067,11,46,2026-02-08T12:50:08.284210
