state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
PUDUCHERRY,Puducherry,"GATEWAY ELECTRIC INFRA, PERAMBALUR",,,gatewayelectricinfra@gmail.com,9345400639,197,650,2026-02-08T16:10:02.154034
PUDUCHERRY,Puducherry,TECHNAUS RENEWABLE PVT. LTD.,,,solar@technaus.co,7418650503,188,682,2026-02-08T16:10:03.761161
PUDUCHERRY,Puducherry,YALI ENERGIES INDIA PVT. LTD.,,,info@yalienergies.com,8489639994,169,659,2026-02-08T16:10:05.206247
PUDUCHERRY,Puducherry,"JAI SOLAR ENERGY MANAGEMENT SYSTEMS, VILUPURAM",,,jaisolarpdy@gmail.com,9843071622,164,566,2026-02-08T16:10:06.968398
PUDUCHERRY,Puducherry,GREENERGY SOLAR SOLUTIONS,,,greenergypdy@gmail.com,9943256109,127,491,2026-02-08T16:10:08.575636
PUDUCHERRY,Puducherry,GATEWAY POWER SYSTEMS,,,gatewayups@gmail.com,9345400639,120,390,2026-02-08T16:10:10.098122
PUDUCHERRY,Puducherry,STERLAWN POWER,:,,sterlawndigital@gmail.com,8015081565,112,362,2026-02-08T16:10:11.870365
PUDUCHERRY,Puducherry,STERLAWN POWER INDIA PVT LTD,:,,sterlawndigital@gmail.com,8015081565,110,374,2026-02-08T16:10:13.535313
PUDUCHERRY,Puducherry,SKY ENERGYS,,,kumar@skyenergys.com,9976986300,92,298,2026-02-08T16:10:15.105051
PUDUCHERRY,Puducherry,GO GREEN SOLAR ENERGY SYSTEMS,,,gogreensolarenergysys@gmail.com,9500278571,85,311,2026-02-08T16:10:16.576333
PUDUCHERRY,Puducherry,SUNZTER INNOVATIONS,,,support@sunzter.in,7448828880,81,299,2026-02-08T16:10:18.073369
PUDUCHERRY,Puducherry,SUN TOUCH SOLAR SOLUTIONS,,,suntouchsolarsolutions@gmail.com,8300163906,81,296,2026-02-08T16:10:19.686240
PUDUCHERRY,Puducherry,LIGHTNING POWER CONTROL,,,lightningups@gmail.com,9843438701,65,214,2026-02-08T16:10:21.079854
PUDUCHERRY,Puducherry,POWER WORLD SYSTEMS,,,powerworldsystem@gmail.com,9842784934,59,219,2026-02-08T16:10:22.442767
PUDUCHERRY,Puducherry,DAZZLE SOLAR SOLUTIONS,,,dazzlesolarsolutions@gmail.com,7305792292,47,167,2026-02-08T16:10:24.101365
PUDUCHERRY,Puducherry,DARLING DIGITAL WORLD PRIVATE LIMITED VELLORE,,,darlingsolarvlr@gmail.com,9363405274,43,147,2026-02-08T16:10:25.513885
PUDUCHERRY,Puducherry,NEW POWER TECH,,,newpowertech2011@gmail.com,9677412696,42,130,2026-02-08T16:10:27.167455
PUDUCHERRY,Puducherry,ARUL POWER SYSTEM,,,arulpowersystem@gmail.com,9443289809,30,100,2026-02-08T16:10:28.670392
PUDUCHERRY,Puducherry,RISING SUN SOLAR PRODUCTS,,,risingsunsolarproducts@gmail.com,9443595027,27,90,2026-02-08T16:10:30.217742
PUDUCHERRY,Puducherry,SRI RATHIGA ENGINEERING,,,srirathigaengineering@gmail.com,9843574968,25,91,2026-02-08T16:10:31.766329
PUDUCHERRY,Puducherry,PUDHUVAI RENEWABLES,,,pudhuvairenewables@gmail.com,9443971298,23,75,2026-02-08T16:10:41.627463
PUDUCHERRY,Puducherry,LE SOLEIL ENTERPRISES,,,lesoleilenterprises6@gmail.com,7094372032,21,74,2026-02-08T16:10:42.920554
PUDUCHERRY,Puducherry,"SV ENERGY SOLUTION (FORMERLY KNOWN AS SV ENERGY SOLUTIONS, VILLUPURAM)",,,vijayaragavan@svenergy.in,9442183515,19,75,2026-02-08T16:10:44.352734
PUDUCHERRY,Puducherry,NITHIN SOLAR SOLUTIONS,,,nithinsolarsolutions@gmail.com,6380658791,15,52,2026-02-08T16:10:45.877162
PUDUCHERRY,Puducherry,RR ENERGY SOLUTION,,,energypdy@gmail.com,9443294375,13,47,2026-02-08T16:10:47.262943
PUDUCHERRY,Puducherry,SUNLIT FUTURE,,,accounts@sunlitfuture.in,9443083477,12,40,2026-02-08T16:10:48.986030
PUDUCHERRY,Puducherry,VARSHINI SUN POWER ENERGY,,,velelectrical88@gmail.com,9698210021,11,38,2026-02-08T16:10:50.641701
