state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
ODISHA,Anugul,BIJAYA ENTERPRISES,,,sales@bijaya-enterprises.com,9262626026,144,483,2026-02-08T15:30:44.923382
ODISHA,Anugul,PRAKRUTI ENERGY,,,prakrutisolar@gmail.com,9938814889,94,311,2026-02-08T15:30:46.327287
ODISHA,Anugul,KAMINI INFRASTRUCTURE AND DEVELOPERS,,,info@kaminiinfrastructure.com,9861598382,37,119,2026-02-08T15:30:47.966167
ODISHA,Anugul,KALYANI SOLAR,,,kalyanisolarindustries@gmail.com,8895227530,34,113,2026-02-08T15:30:49.589019
ODISHA,Anugul,M/S ALPHA ENTERPRISES,:,,alphaenterprises@gmail.com,9040090004,31,96,2026-02-08T15:30:51.046857
ODISHA,Anugul,M/S PHOENIX,,,odisha@gmail.com,9114626388,22,77,2026-02-08T15:30:52.679799
ODISHA,Anugul,DLOKNETWORKS PRIVATE LIMITED,,,chhatar@dlok.in,9953306046,19,56,2026-02-08T15:30:54.197691
ODISHA,Anugul,SOLFLIP SOLUTIONS PRIVATE LIMITED,,,solflipsolutions@gmail.com,9437701406,18,54,2026-02-08T15:30:55.545103
ODISHA,Anugul,M/S AGL POWERTECH,,,aglpowertech@gmail.com,9437122233,18,61,2026-02-08T15:30:57.012804
ODISHA,Anugul,SOLAR BEE,,,contactsolarbee@gmail.com,8105549974,16,45,2026-02-08T15:30:58.397452
ODISHA,Anugul,SASA ENGINEERING & ENERGY,,,dhenkanalsolar@gmail.com,7008241153,16,52,2026-02-08T15:30:59.916334
ODISHA,Anugul,OMM ENERGY SOLUTIONS,:,,manas_smart@yahoo.com,8448794277,15,46,2026-02-08T15:31:01.412413
ODISHA,Anugul,LIGHT WAVE SOLAR SOLUTIONS,,,lightwavesolarsolutions@gmail.com,7077917700,15,52,2026-02-08T15:31:02.797348
ODISHA,Anugul,KALINGA RENEWABLE ENERGY MANUFACTURERS PVT LTD,,,office@karma-tech.in,7908858076,12,38,2026-02-08T15:31:04.254019
ODISHA,Anugul,GDA SOLAR PVT LTD,,,devendrachandrakar2015@gmail.com,7987152376,12,39,2026-02-08T15:31:05.743944
ODISHA,Anugul,SMARTPLUS CONSULTANCY AND INFORMATICS PVT LTD,,,smartplusconsultancy@yahoo.com,9583218255,11,35,2026-02-08T15:31:07.223340
ODISHA,Anugul,RAJ ENERGY,:,,rajenergy2050@gmail.com,9937370606,11,42,2026-02-08T15:31:08.548395
