state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
PUNJAB,S.A.S Nagar,ECO SOLAR ENERGIES,,,ECOSOLARENERGIES77@GMAIL.COM,7837223202,160,736,2026-02-08T16:29:24.490587
PUNJAB,S.A.S Nagar,GREEN ENERGY SOLUTIONS,,,Greenenergysolutions87@gmail.com,9815949600,121,512,2026-02-08T16:29:25.927245
PUNJAB,S.A.S Nagar,SUNREFORMS ENERGY PRIVATE LIMITED,,,info@srenergy.co,9214887700,72,287,2026-02-08T16:29:27.144075
PUNJAB,S.A.S Nagar,ELFROSUN TECHNOLOGIES PRIVATE LIMITED,,,elfrosun@gmail.com,8725012340,65,397,2026-02-08T16:29:28.607926
PUNJAB,S.A.S Nagar,INTER SOLAR SYSTEMS PVT. LTD,,,info@intersolarsystems.com,9357834139,55,287,2026-02-08T16:29:30.052122
PUNJAB,S.A.S Nagar,A.P TECHNOLOGIES,:,,technologies98@gmail.com,9815438251,35,122,2026-02-08T16:29:31.491762
PUNJAB,S.A.S Nagar,TOUCHLIFE TECHNOLOGIES,:,,greensys@gmail.com,7011195489,28,131,2026-02-08T16:29:32.654716
PUNJAB,S.A.S Nagar,SURYA RAYFORCE LLP,,,info@suryarayforce.com,9855000767,28,138,2026-02-08T16:29:33.613589
PUNJAB,S.A.S Nagar,SYNERGY SOLAR INC,,,synergysolar@yahoo.com,7814642909,27,134,2026-02-08T16:29:35.017027
PUNJAB,S.A.S Nagar,PUNJAB GREEN ENERGY,,,punjabgreenenergy@gmail.com,9872000941,23,102,2026-02-08T16:29:36.243313
PUNJAB,S.A.S Nagar,LORD SUNBEEM SOLAR SOLUTIONS,,,ravindergarg84@gmail.com,8146078931,23,89,2026-02-08T16:29:37.938311
PUNJAB,S.A.S Nagar,WHITE LIFE ENTERPRISES PRIVATE LIMITED,,,info@whitelifeenterprises.com,8558088708,22,120,2026-02-08T16:29:39.654062
PUNJAB,S.A.S Nagar,EKAM ENERGY,:,,info@ekamenergy.com,9577330005,22,108,2026-02-08T16:29:41.321018
PUNJAB,S.A.S Nagar,SUNTREE DIRECT PVT LTD.,,,suntreedirect@gmail.com,9417664856,19,68,2026-02-08T16:29:42.687403
PUNJAB,S.A.S Nagar,UNITED SOLAR ENGG.& TECHNOLOGIES,,,unitedsolar@rediffmail.com,9988009974,16,49,2026-02-08T16:29:43.902791
PUNJAB,S.A.S Nagar,BLISS SOLAR POWER PVT. LTD.,,,SolarPower@gmail.com,7006602386,15,73,2026-02-08T16:29:45.515182
PUNJAB,S.A.S Nagar,SUSTECH POWER SOLUTIONS PVT. LTD.,:,,INFO@sustechpower.com,7087864444,14,89,2026-02-08T16:29:47.269275
PUNJAB,S.A.S Nagar,DYNAMIC SOLAR SOLUTIONS,,,dssolutionsmohali@gmail.com,9888945858,14,49,2026-02-08T16:29:48.564590
PUNJAB,S.A.S Nagar,DEEDS,:,,deedsolar@gmail.com,9814169647,13,70,2026-02-08T16:29:49.556607
PUNJAB,S.A.S Nagar,ARSH SOLAR ENERGY,,,arshsolar133@gmail.com,9815030638,13,55,2026-02-08T16:29:50.692041
PUNJAB,S.A.S Nagar,WINSOLAR SOLUTIONS LLP,,,chawlabs@gmail.com,7696311111,12,52,2026-02-08T16:29:59.933901
PUNJAB,S.A.S Nagar,SELECTIAL RENEWABLE ENERGIES,,,solarsre@gmail.com,9478700401,12,68,2026-02-08T16:30:01.286502
PUNJAB,S.A.S Nagar,RANA SOLAR ENTERPRISES,,,RANASOLAR636@GMAIL.COM,9914608962,11,51,2026-02-08T16:30:02.723165
PUNJAB,S.A.S Nagar,KAPOOR POWER SOLAR,,,vinaykapoor72@gmail.com,9814124406,11,37,2026-02-08T16:30:04.336003
