state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
ODISHA,Bhadrak,DREAM HOME INFRA AND SOLAR,:,,dreamhomeinfransolar@gmail.com,9975685426,97,325,2026-02-08T15:36:44.626267
ODISHA,Bhadrak,M/S MATRIX RESOURCES,,,bls@gmail.com,9437533650,80,253,2026-02-08T15:36:46.296782
ODISHA,Bhadrak,M/S ALPHA ENTERPRISES,:,,alphaenterprises@gmail.com,9040090004,76,233,2026-02-08T15:36:47.700331
ODISHA,Bhadrak,FIVEFOLD RENEWABLE PRIVATE LIMITED,,,fivefoldsolar@gmail.com,9937665857,57,186,2026-02-08T15:36:49.162460
ODISHA,Bhadrak,M/S EMBEESON CONTROLS PVT. LTD.,,,info@embeesoncontrols.com,8895007788,54,167,2026-02-08T15:36:50.847894
ODISHA,Bhadrak,OMM ENERGY SOLUTIONS,:,,manas_smart@yahoo.com,8448794277,53,160,2026-02-08T15:36:52.489487
ODISHA,Bhadrak,M/S FREEDOM CONSTRUCTION,,,freedom_bhadrak@rediffmail.com,8249351868,42,119,2026-02-08T15:36:53.948412
ODISHA,Bhadrak,ALT ENERTECH SOLUTIONS PRIVATE LIMITED,,,odisha@gmail.com,8763599772,23,73,2026-02-08T15:36:55.445112
ODISHA,Bhadrak,ORB ENERGY PVT LTD,,,sales@orbenergy.com,9900520505,20,68,2026-02-08T15:36:56.912595
ODISHA,Bhadrak,URJA GROUP OF COMPANY,,,sales@solarmaxo.com,9090976555,18,52,2026-02-08T15:36:57.945930
ODISHA,Bhadrak,UTKAL SOLAR CARE,,,utkalsolarcare@gmail.com,7894959891,17,48,2026-02-08T15:36:59.590772
ODISHA,Bhadrak,M/S AGARWALLA CONSTRUCTIONS,:,,pawanagarwalla2021@gmail.com,8103053776,14,45,2026-02-08T15:37:01.220848
ODISHA,Bhadrak,SURYAM INTERNATIONAL PRIVATE LIMITED,,,marketing@groupsurya.co,8093011632,13,36,2026-02-08T15:37:02.856908
ODISHA,Bhadrak,SOLAR SACK,,,jk@solarsack.in,9238412384,13,42,2026-02-08T15:37:04.412243
ODISHA,Bhadrak,KALINGA RENEWABLE ENERGY MANUFACTURERS PVT LTD,,,office@karma-tech.in,7908858076,11,36,2026-02-08T15:37:05.626229
ODISHA,Bhadrak,EKOKRAFT ENERGY SOLUTIONS PRIVATE LIMITED,,,ekokraftenergy@gmail.com,9724529047,11,36,2026-02-08T15:37:07.166342
