state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
NCT OF DELHI,South,GEOPOWER INDIA PRIVATE LIMITED,:,,GEOPOWERINDIA@GMAIL.COM,9999888118,89,492,2026-02-08T15:25:19.585568
NCT OF DELHI,South,ENERGIFIC SOLAR PRIVATE LIMITED,,,energificsolar@gmail.com,9599035315,38,235,2026-02-08T15:25:21.208882
NCT OF DELHI,South,EASTERN LIGHT AND POWER PVT. LTD.,,,netmetering@itsmysun.com,9818230950,34,172,2026-02-08T15:25:22.290515
NCT OF DELHI,South,SOLARSQUARE ENERGY PRIVATE LIMITED,,,nationalportal@solarsquare.in,9830003000,31,143,2026-02-08T15:25:23.702634
NCT OF DELHI,South,ASUN SOLAR POWER PVT LTD (FORMERLY KNOWN AS ASUN SOLAR POWER PVT LTD),,,metering@asun.co,8851460028,28,212,2026-02-08T15:25:24.771500
NCT OF DELHI,South,SUNRADIANCE TECHNOLOGIES PVT. LTD.,,,sunradiancetech@gmail.com,8285858535,27,147,2026-02-08T15:25:26.164665
NCT OF DELHI,South,ROSOL ENERGY PRIVATE LIMITED,,,rosolindia@gmail.com,8448446252,27,145,2026-02-08T15:25:27.656278
NCT OF DELHI,South,LANSISO INNOVATION TECHNOLOGY,,,sarita@lansisotech.com,9310811200,16,100,2026-02-08T15:25:28.721648
NCT OF DELHI,South,BRIDGEWAY POWER SERVICES PVT. LTD.,,,CUSTOMERSUPPORT@BRIDGEWAYPOWER.IN,9069324494,16,78,2026-02-08T15:25:29.968738
NCT OF DELHI,South,THERMOSUN ENGINEERING & POWER INDIA PVT. LTD.,,,thermosunpower@gmail.com,8077914097,14,79,2026-02-08T15:25:31.175156
NCT OF DELHI,South,SOLARIUM GREEN ENERGY LIMITED,,,np@solariumenergy.in,9687133338,14,74,2026-02-08T15:25:32.268471
NCT OF DELHI,South,PARBHAKAR SHAKTI SOLAR PROJECTS & TECHNICAL CONSULTANT,,,pssolarprojects@gmail.com,9810082403,13,70,2026-02-08T15:25:33.523136
