state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
ODISHA,Cuttack,SAI SOLAR SOLUTIONS,,,Saisolar2023@gmail.com,6370308457,273,956,2026-02-08T15:38:29.802862
ODISHA,Cuttack,OMM ENERGY SOLUTIONS,:,,manas_smart@yahoo.com,8448794277,224,683,2026-02-08T15:38:31.284861
ODISHA,Cuttack,KALINGA RENEWABLE ENERGY MANUFACTURERS PVT LTD,,,office@karma-tech.in,7908858076,137,429,2026-02-08T15:38:32.389262
ODISHA,Cuttack,URJA GROUP OF COMPANY,,,sales@solarmaxo.com,9090976555,126,396,2026-02-08T15:38:33.266472
ODISHA,Cuttack,SAHOO CONSTRUCTION,,,SAHOOCONSTRUCTION00@GMAIL.COM,7008790475,111,372,2026-02-08T15:38:34.673384
ODISHA,Cuttack,REGNANT ENTERPRISES,,,sahoo11@gmail.com,7653898923,82,248,2026-02-08T15:38:36.423344
ODISHA,Cuttack,MAA SARASWATI ENTERPRISE,,,solar@gmail.com,9090432923,82,274,2026-02-08T15:38:37.793180
ODISHA,Cuttack,SGL SOLAR SOLUTION ODISHA,,,SGLSOLARSOLUTION@GMAIL.COM,7077028732,70,226,2026-02-08T15:38:39.490518
ODISHA,Cuttack,SOLAR SACK,,,jk@solarsack.in,9238412384,61,210,2026-02-08T15:38:41.132178
ODISHA,Cuttack,ABHILIPSA SOLAR POWER SYSTEM,:,,abhilipshasolarpower@gmail.com,7205200744,53,176,2026-02-08T15:38:42.516584
ODISHA,Cuttack,VHN SOLAR ENERGY PRIVATE LIMITED,:,,info@vihaansolar.com,8598800088,51,156,2026-02-08T15:38:44.087312
ODISHA,Cuttack,TRANSCORD TELSCAPE PRIVATE LIMITED,,,manoj_s_5@yahoo.com,7894459888,51,158,2026-02-08T15:38:45.616900
ODISHA,Cuttack,POWER UP 2 0,,,0bbsr@gmail.com,9337512355,51,155,2026-02-08T15:38:47.080180
ODISHA,Cuttack,SUN RISE SOLUTION,,,sumitrathi2020@gmail.com,9861162255,48,160,2026-02-08T15:38:48.693473
ODISHA,Cuttack,M M ENTERPRISES,,,mmenterprises302@gmail.com,7682830095,47,150,2026-02-08T15:38:50.308913
ODISHA,Cuttack,JYORTI BINDU SOLAR PARK,,,jyortibindusolarpark@gmail.com,9437784305,45,150,2026-02-08T15:38:51.840522
ODISHA,Cuttack,TULSYAN ENTERPRISES,,,manish@tulsyanenterprises.com,9337522822,43,127,2026-02-08T15:38:53.589611
ODISHA,Cuttack,MAXUP SOLAR ENERGY PRIVATE LIMITED,,,MAXUPSOLARENERGY@GMAIL.COM,7978630661,41,130,2026-02-08T15:38:55.055167
ODISHA,Cuttack,LIFE LINER PVT LTD,:,,lifeliner2020@gmail.com,6363654620,41,143,2026-02-08T15:38:56.555638
ODISHA,Cuttack,SAP COMMUNICATION,,,sapsolarenergy@gmail.com,9937045379,40,127,2026-02-08T15:38:58.199533
ODISHA,Cuttack,ELEMECH ENGINEERING,,,elemechrenewable@gmail.com,9861156987,37,122,2026-02-08T15:39:07.055369
ODISHA,Cuttack,DHRUTIK INFOTECH PRIVATE LIMITED,,,dhrutikinfotech@gmail.com,8756774488,36,114,2026-02-08T15:39:08.727138
ODISHA,Cuttack,TIKI ENGINEERING (OPC) PRIVATE LIMITED,,,energybhoomi@gmail.com,7008666847,33,98,2026-02-08T15:39:10.448780
ODISHA,Cuttack,KAMINI INFRASTRUCTURE AND DEVELOPERS,,,info@kaminiinfrastructure.com,9861598382,33,105,2026-02-08T15:39:11.980286
ODISHA,Cuttack,DLOKNETWORKS PRIVATE LIMITED,,,chhatar@dlok.in,9953306046,33,101,2026-02-08T15:39:13.393507
ODISHA,Cuttack,CELLERA POWER CARE,,,info@mycpc.in,9090033366,30,93,2026-02-08T15:39:14.868409
ODISHA,Cuttack,CELLERA ECO SOLUTION PVT. LTD.,,,cellerasolar@gmail.com,9090033366,28,88,2026-02-08T15:39:16.464977
ODISHA,Cuttack,EKOKRAFT ENERGY SOLUTIONS PRIVATE LIMITED,,,ekokraftenergy@gmail.com,9724529047,27,88,2026-02-08T15:39:18.155204
ODISHA,Cuttack,POWERUP2 CLEAN TECHNOLOGY PRIVATE LIMITED,,,0bbsr@gmail.com,9337512355,26,77,2026-02-08T15:39:19.429793
ODISHA,Cuttack,VERONICS CONSULTANCY PRIVATE LIMITED,,,veronicssolar@gmail.com,7655015061,25,83,2026-02-08T15:39:21.020503
