state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
PUNJAB,Jalandhar,PLATINUM SOLAR,,,platinumsolar6@gmail.com,8837767073,73,249,2026-02-08T16:21:06.760214
PUNJAB,Jalandhar,SOLAR FIRST ENERGY PVT LTD,:,,solarfirstenergy@gmail.com,9814810025,63,339,2026-02-08T16:21:08.251032
PUNJAB,Jalandhar,ECO GLOBAL SALES CORP.,,,rohit@egsolar.in,9888961009,42,206,2026-02-08T16:21:09.443599
PUNJAB,Jalandhar,SUNMAXX POWER CONTROL SYSTEMS,,,SUNMAXX@REDIFFMAIL.COM,9478475076,41,236,2026-02-08T16:21:11.120817
PUNJAB,Jalandhar,REHAL OPTOELECTRONICS,,,rehaloptoelectronics@gmail.com,9888100706,37,161,2026-02-08T16:21:12.081706
PUNJAB,Jalandhar,SOLAR INDIA,,,hello@solarindia.info,7009588312,33,169,2026-02-08T16:21:13.634903
PUNJAB,Jalandhar,ACTIVE SALES CORPORATION,,,OVERSEAS21@GMAIL.COM,9988946466,24,125,2026-02-08T16:21:15.425718
PUNJAB,Jalandhar,DHILLON ELECTRICAL WORKS,,,DHILLONGUR999@GMAIL.COM,9814405545,21,95,2026-02-08T16:21:16.636029
PUNJAB,Jalandhar,GENISUN POWER SOLUTIONS PVT. LTD,,,GENISUNPOWER@GMAIL.COM,9988002930,19,85,2026-02-08T16:21:18.025149
PUNJAB,Jalandhar,JIWAN ENGINEERS & CONSULTANTS,,,Ksgill61@yahoo.com,9646678601,16,63,2026-02-08T16:21:19.593450
PUNJAB,Jalandhar,NOVEL POWER PVT. LTD,,,novelpower18@gmail.com,9876851088,13,49,2026-02-08T16:21:20.660144
PUNJAB,Jalandhar,RISING STAR,,,STARRISING1019@GMAIL.COM,8568827002,11,93,2026-02-08T16:21:22.052782
PUNJAB,Jalandhar,HI-TECH SOLAR SOLUTIONS,,,HITECHABOHAR@GMAIL.COM,9888528747,11,41,2026-02-08T16:21:23.620134
