state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
PUNJAB,Patiala,SOLAR HOUSE,,,solarhousepta@gmail.com,9878822280,182,673,2026-02-08T16:27:39.906364
PUNJAB,Patiala,A.P TECHNOLOGIES,:,,technologies98@gmail.com,9815438251,155,575,2026-02-08T16:27:41.416445
PUNJAB,Patiala,NANO ENERGY,,,nanoenergy@zohomail.in,9888785722,123,529,2026-02-08T16:27:42.936656
PUNJAB,Patiala,ESCA SOLAR,,,ESCASOLAR@GMAIL.COM,9463238744,93,390,2026-02-08T16:27:44.570842
PUNJAB,Patiala,SUNERGY ECO SOLUTIONS,:,,SUNERGYECO@GMAIL.COM,9876269169,79,488,2026-02-08T16:27:46.082965
PUNJAB,Patiala,SOLAR WORLD,,,amitvasudeva1@gmail.com,7307100002,71,309,2026-02-08T16:27:47.828862
PUNJAB,Patiala,HARSH ENTERPRISES,,,harshenterprises4446@gmail.com,9592677594,59,249,2026-02-08T16:27:49.446693
PUNJAB,Patiala,RANA SOLAR ENTERPRISES,,,RANASOLAR636@GMAIL.COM,9914608962,57,243,2026-02-08T16:27:50.909270
PUNJAB,Patiala,ECOVOLTS & TECH PVT.LTD,,,REACHEVT@GMAIL.COM,9688300009,57,253,2026-02-08T16:27:52.728986
PUNJAB,Patiala,ENERGY SAVING SOLUTIONS,,,energysavingpta@gmail.com,9878884747,54,281,2026-02-08T16:27:54.081864
PUNJAB,Patiala,GAGAN TRANSMISSIONS PVT LTD,:,,GAGAN_TRANS@YAHOO.CO,9316200800,43,216,2026-02-08T16:27:55.665026
PUNJAB,Patiala,ARPAN TECHNOLOGIES,,,pta@gmail.com,8146060006,40,152,2026-02-08T16:27:57.097660
PUNJAB,Patiala,UMEED INFRASTRUCTURES AND REAL ESTATES,,,umeedinfra@yahoo.com,9855961396,29,123,2026-02-08T16:27:58.572123
PUNJAB,Patiala,KARGIL SOLAR,,,SOLAR@GMAIL.COM,8640000084,28,122,2026-02-08T16:27:59.956786
PUNJAB,Patiala,MALWA GREEN ENERGY SOLUTIONS,,,MALWAGREENENERGY@GMAIL.COM,8146674446,24,83,2026-02-08T16:28:01.557943
PUNJAB,Patiala,MAHAVIR INDUSTRIES,,,MAHAVIRGARG265@GMAIL.COM,9465205001,21,68,2026-02-08T16:28:03.406318
PUNJAB,Patiala,SHRI G S TRADERS DHURI,,,gstraders643@gmail.com,9888493234,16,74,2026-02-08T16:28:04.934031
PUNJAB,Patiala,JIMIDARA ELECTRIC & BORING WORKS,,,jimidarasolar@gmail.com,9417014754,14,55,2026-02-08T16:28:06.439673
PUNJAB,Patiala,SUNSHINE ENERGY SOLUTIONS,,,sunshineenergysolutions93@gmail.com,8699930674,13,52,2026-02-08T16:28:07.584176
