state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
ODISHA,Khordha,KALINGA RENEWABLE ENERGY MANUFACTURERS PVT LTD,,,office@karma-tech.in,7908858076,648,2181,2026-02-08T15:52:31.997742
ODISHA,Khordha,SOLAR SACK,,,jk@solarsack.in,9238412384,353,1198,2026-02-08T15:52:33.670278
ODISHA,Khordha,POWER UP 2 0,,,0bbsr@gmail.com,9337512355,259,888,2026-02-08T15:52:35.230296
ODISHA,Khordha,URJA GROUP OF COMPANY,,,sales@solarmaxo.com,9090976555,226,728,2026-02-08T15:52:36.379162
ODISHA,Khordha,ADDISUN ENERGY SOLUTION PVT.LTD.,,,addisunenergy@gmail.com,9090093303,201,668,2026-02-08T15:52:38.074268
ODISHA,Khordha,M/S AGARWALLA CONSTRUCTIONS,:,,pawanagarwalla2021@gmail.com,8103053776,178,584,2026-02-08T15:52:39.089219
ODISHA,Khordha,OMM ENERGY SOLUTIONS,:,,manas_smart@yahoo.com,8448794277,173,550,2026-02-08T15:52:40.121397
ODISHA,Khordha,CELLERA POWER CARE,,,info@mycpc.in,9090033366,155,574,2026-02-08T15:52:41.869773
ODISHA,Khordha,GROSSKY INFRA SOLUTIONS LLP,:,,sahoo@grossky.com,9583998336,139,513,2026-02-08T15:52:43.497102
ODISHA,Khordha,VHN SOLAR ENERGY PRIVATE LIMITED,:,,info@vihaansolar.com,8598800088,124,427,2026-02-08T15:52:44.862387
ODISHA,Khordha,ELEMECH ENGINEERING,,,elemechrenewable@gmail.com,9861156987,90,320,2026-02-08T15:52:46.588471
ODISHA,Khordha,ECOSYS SOLAR SOLUTION,:,,ECOSYSODISHA@GMAIL.COM,7008366878,86,273,2026-02-08T15:52:48.017466
ODISHA,Khordha,TIKI ENGINEERING (OPC) PRIVATE LIMITED,,,energybhoomi@gmail.com,7008666847,85,275,2026-02-08T15:52:49.205408
ODISHA,Khordha,LIFE LINER PVT LTD,:,,lifeliner2020@gmail.com,6363654620,83,296,2026-02-08T15:52:50.170295
ODISHA,Khordha,SOURAV ENGINEERS,,,eng2013@gmail.com,9437543843,75,234,2026-02-08T15:52:51.659810
ODISHA,Khordha,RMS ENERGY MANAGEMENT AND SOLUTIONS LLP,,,rmsmanagement1010@gmail.com,9437229065,75,250,2026-02-08T15:52:53.148562
ODISHA,Khordha,INFINITY SOLAR CARE,,,infinitysolarcare@gmail.com,9658085856,70,226,2026-02-08T15:52:54.732068
ODISHA,Khordha,SAURA SHAKTI ENTERPRISES PVT LTD,,,Saurashakti70@gmail.com,6370083972,65,221,2026-02-08T15:52:56.016438
ODISHA,Khordha,NEXCORP INFRATEC PVT LTD,,,abhijeet@nexcorpgrintec.in,9692966626,64,208,2026-02-08T15:52:57.490389
ODISHA,Khordha,OMM SHIV BABA TRUST,,,ommshivbabatrust2024@gmail.com,9776243455,60,174,2026-02-08T15:52:59.182567
ODISHA,Khordha,POWERUP2 CLEAN TECHNOLOGY PRIVATE LIMITED,,,0bbsr@gmail.com,9337512355,58,195,2026-02-08T15:53:09.114093
ODISHA,Khordha,ABHILIPSA SOLAR POWER SYSTEM,:,,abhilipshasolarpower@gmail.com,7205200744,57,194,2026-02-08T15:53:10.587411
ODISHA,Khordha,SAP COMMUNICATION,,,sapsolarenergy@gmail.com,9937045379,56,171,2026-02-08T15:53:12.364109
ODISHA,Khordha,SUSTAINABLE YIELD ENGINEERING DYNAMICS PRIVATE LIMITED,,,solar@sustyield.com,7077895222,54,154,2026-02-08T15:53:13.906650
ODISHA,Khordha,SMART SOLAR BIDGELY SOLUTION PVT LTD,,,smartsolarbidgelysolution1@gmail.com,7894441627,54,183,2026-02-08T15:53:15.459457
ODISHA,Khordha,RAJ ENERGY,:,,rajenergy2050@gmail.com,9937370606,52,197,2026-02-08T15:53:16.766279
ODISHA,Khordha,MAA SARASWATI ENTERPRISE,,,solar@gmail.com,9090432923,52,174,2026-02-08T15:53:18.348974
ODISHA,Khordha,BHAGAVAT POWERTECH PRIVATE LIMITED,,,BHAGVATPOWERTECH@GMAIL.COM,9078989409,50,182,2026-02-08T15:53:20.114857
ODISHA,Khordha,PRATIMA ENERGY PRIVATE LIMITED,,,pratimaenergypvtltd@gmail.com,8249330750,47,153,2026-02-08T15:53:21.660934
ODISHA,Khordha,ECOPOWER CONTECH,,,ecopowercontech@gmail.com,9556700888,47,145,2026-02-08T15:53:23.301909
ODISHA,Khordha,ARYAL SERVICES,,,aryalpreetamsahoo@gmail.com,9938517626,47,149,2026-02-08T15:53:24.948646
ODISHA,Khordha,AELIUS RENEWABLE ENERGY & INNOVATIONS PRIVATE LIMITED,,,adhyatmik@aeliuspower.co,7504852454,47,163,2026-02-08T15:53:26.415428
ODISHA,Khordha,SURYAM INTERNATIONAL PRIVATE LIMITED,,,marketing@groupsurya.co,8093011632,46,143,2026-02-08T15:53:28.013362
ODISHA,Khordha,FIVEFOLD RENEWABLE PRIVATE LIMITED,,,fivefoldsolar@gmail.com,9937665857,45,160,2026-02-08T15:53:29.521510
ODISHA,Khordha,SOLAMIO AGRO INDIA LLP,,,solar31@gmail.com,7377751682,44,144,2026-02-08T15:53:31.064092
ODISHA,Khordha,KAMINI INFRASTRUCTURE AND DEVELOPERS,,,info@kaminiinfrastructure.com,9861598382,44,168,2026-02-08T15:53:32.565397
ODISHA,Khordha,SOLARVOLT ENERGY SOLUTION,,,solarvoltenergysolution@gmail.com,9348334988,43,137,2026-02-08T15:53:34.171681
ODISHA,Khordha,SANTOSH ENGINEERING SOLUTIONS,,,sesngrpvtltd@gmail.com,9777429909,42,133,2026-02-08T15:53:35.801044
ODISHA,Khordha,CELLERA ECO SOLUTION PVT. LTD.,,,cellerasolar@gmail.com,9090033366,38,124,2026-02-08T15:53:37.137060
ODISHA,Khordha,BIJAYA ENTERPRISES,,,sales@bijaya-enterprises.com,9262626026,38,126,2026-02-08T15:53:38.609556
ODISHA,Khordha,END USER ELECTRONICS AND ELECTRICAL,,,enduserelectronics@gmail.com,7008993949,37,128,2026-02-08T15:53:47.597504
ODISHA,Khordha,SHREE KRISHNA ENTERPRISE,,,shreekrishnaentp2013@gmail.com,9337400136,35,111,2026-02-08T15:53:49.173359
ODISHA,Khordha,RISHI ELECTRICAL & WORKS,,,rishielectrical@gmail.com,8456995195,35,136,2026-02-08T15:53:50.707591
ODISHA,Khordha,DAMINEE ENTERPRISES,,,damineeenterprise2015@gmail.com,9871716061,35,131,2026-02-08T15:53:52.306817
ODISHA,Khordha,SAHOO CONSTRUCTION,,,SAHOOCONSTRUCTION00@GMAIL.COM,7008790475,33,112,2026-02-08T15:53:53.920364
ODISHA,Khordha,SURYA ENTERPRISES,,,servicewithsurya@gmail.com,7008648658,32,97,2026-02-08T15:53:55.479710
ODISHA,Khordha,PARKLANDS SOLAR PRIVATE LIMITED,:,,parklandssolar@gmail.com,9124911011,32,135,2026-02-08T15:53:56.941056
ODISHA,Khordha,SPARKRADIX INFRATECH PVT LTD,,,ghadai@sparkradix.in,8895070692,31,121,2026-02-08T15:53:58.563920
ODISHA,Khordha,DNS CORPORATE,,,dnsc@gmail.com,7848994426,31,98,2026-02-08T15:54:00.288336
ODISHA,Khordha,REDCUBE SERVICES PRIVATE LIMITED,,,contact@redcubesolar.in,7381707111,30,111,2026-02-08T15:54:01.775003
ODISHA,Khordha,ELPOWER PRIVATE LIMITED,,,elpowerpvtltd@gmail.com,9861794100,27,83,2026-02-08T15:54:03.239669
ODISHA,Khordha,AB INFOTECH,,,admin@abinfotech.org,7008946006,27,87,2026-02-08T15:54:04.680101
ODISHA,Khordha,MAXUP SOLAR ENERGY PRIVATE LIMITED,,,MAXUPSOLARENERGY@GMAIL.COM,7978630661,26,92,2026-02-08T15:54:06.248720
ODISHA,Khordha,ANSHUDHA POWER AND AUTOMATION (INDIA),,,Info@anshudha.in,9348326240,26,91,2026-02-08T15:54:08.029940
ODISHA,Khordha,SEBARAJ SOLAR ENERGY PRIVATE LIMITED,,,md@sebarajsolar.com,9437021989,25,84,2026-02-08T15:54:09.616558
ODISHA,Khordha,S AND P ENTERPRISES,,,infospenterprises17@gmail.com,7008672221,25,84,2026-02-08T15:54:11.291838
ODISHA,Khordha,SUNERGY SOLUTION,:,,sunergysolution@gmail.com,7008066131,24,77,2026-02-08T15:54:12.850945
ODISHA,Khordha,SONNY POWER CORPORATION,,,bbsr@gmail.com,9437134499,24,74,2026-02-08T15:54:14.355800
ODISHA,Khordha,SARALA ENGINEERING WORKS,,,kandusurajit@gmail.com,9938421460,24,100,2026-02-08T15:54:15.900451
ODISHA,Khordha,SHREE TRADERS,,,shreetraders615@gmail.com,7008281667,23,74,2026-02-08T15:54:17.290205
ODISHA,Khordha,ORB ENERGY PVT LTD,,,sales@orbenergy.com,9900520505,23,82,2026-02-08T15:54:25.299533
ODISHA,Khordha,MAHAVEER GREEN SOLAR ENERGY,,,mahaveergse@gmail.com,7894647545,23,77,2026-02-08T15:54:27.031337
ODISHA,Khordha,FORMONIK TECHNOLOGY PRIVATE LIMITED,:,,support@formonik.com,9937514136,23,73,2026-02-08T15:54:28.437554
ODISHA,Khordha,SHREE TECHNO INDUSTRIES,,,odisha@gmail.com,7381122122,22,68,2026-02-08T15:54:30.096771
ODISHA,Khordha,PUNAM ENERGY PVT LTD,,,INFO@ONERGY.IN,9007082911,22,78,2026-02-08T15:54:31.832083
