state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
MAHARASHTRA,Sangli,SUNEARTH SOLAR ENERGY SYSTEM,,,sunearth10@gmail.com,7774005927,373,1189,2026-02-08T13:58:33.067902
MAHARASHTRA,Sangli,SHIVANSH ELECTRICALS,,,shivanshelectricalsislampur@gmail.com,9049324941,284,932,2026-02-08T13:58:34.402715
MAHARASHTRA,Sangli,AVI ASSOCAITES,,,solararc38@gmail.com,8788275659,284,955,2026-02-08T13:58:35.847224
MAHARASHTRA,Sangli,SHREE GANESH SOLAR SYSTEMS,,,shreeganeshsolarsystems1996@gmail.com,9860844394,272,891,2026-02-08T13:58:37.341660
MAHARASHTRA,Sangli,PUSHPARTH RENEWABLES PRIVATE LIMITED,,,pushparthrenewables@gmail.com,9579642999,264,813,2026-02-08T13:58:38.817577
MAHARASHTRA,Sangli,GOLDEN ELECTRICALS,:,,electricals@rediffmail.com,9850880687,262,963,2026-02-08T13:58:40.490161
MAHARASHTRA,Sangli,SHRI ELECTRICALS AND DEVLOPERS,,,mali16363@gmail.com,9588453344,260,816,2026-02-08T13:58:41.973378
MAHARASHTRA,Sangli,ANNAPURNA EQUIPMENTS,,,annapurna024@rediffmail.com,9422040678,240,803,2026-02-08T13:58:43.629654
MAHARASHTRA,Sangli,INFINITY ELECTRICAL,:,,infinityelectrical2021@gmail.com,9665396969,225,716,2026-02-08T13:58:45.405717
MAHARASHTRA,Sangli,FREVOLT GREEN ENERGY TECHNOLOGIES PVT LTD,,,sanket@frevolt.co,7822051295,217,680,2026-02-08T13:58:47.068744
MAHARASHTRA,Sangli,SANJYOT ENTERPRISES,:,,sanjyotenterprises58@gmail.com,9765300324,205,785,2026-02-08T13:58:48.477674
MAHARASHTRA,Sangli,THORAT SOLAR CORPORATION,,,thoratsolarcorporation@gmail.com,7249706713,190,596,2026-02-08T13:58:50.241639
