state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
MAHARASHTRA,Chhatrapati Sambhajinagar,SAI ENTERPRISES VAIJAPUR,:,,saisolarrooftop@gmail.com,9403688124,742,2696,2026-02-08T12:29:11.130133
MAHARASHTRA,Chhatrapati Sambhajinagar,SOLARSQUARE ENERGY PRIVATE LIMITED,,,nationalportal@solarsquare.in,9830003000,735,2698,2026-02-08T12:29:12.574979
MAHARASHTRA,Chhatrapati Sambhajinagar,RUSHIKESH INDUSTRIES PVT LTD,,,rushikeshindustriespvt@gmail.com,8080935199,723,2402,2026-02-08T12:29:14.224856
MAHARASHTRA,Chhatrapati Sambhajinagar,WILL ENTERPRISES,,,willenterprises2020@gmail.com,8275239507,675,2231,2026-02-08T12:29:15.749452
MAHARASHTRA,Chhatrapati Sambhajinagar,OM SAI ENTERPRISES,,,omsaielectrical27@gmail.com,9028489161,592,2127,2026-02-08T12:29:17.166433
MAHARASHTRA,Chhatrapati Sambhajinagar,OMKAR ENTERPRISES,,,989@gmail.com,8275388502,529,1784,2026-02-08T12:29:18.596459
MAHARASHTRA,Chhatrapati Sambhajinagar,EKOTECH ENTERPRISES,,,ekotechenterprises@gmail.com,8975707571,501,1783,2026-02-08T12:29:20.236928
MAHARASHTRA,Chhatrapati Sambhajinagar,PRAJYOT ENGINEERING,:,,Prajyotengineering03@gmail.com,8275937963,470,1686,2026-02-08T12:29:21.771784
MAHARASHTRA,Chhatrapati Sambhajinagar,R.S. ENTERPRISES,,,patilganesh050@gmail.com,8888808347,450,1585,2026-02-08T12:29:23.179614
MAHARASHTRA,Chhatrapati Sambhajinagar,SUNPHASE ENERGY PRIVATE LIMITED,,,sunphaseenergy000@gmail.com,8983171289,430,1461,2026-02-08T12:29:24.705869
MAHARASHTRA,Chhatrapati Sambhajinagar,TIRUPATI SOLAR ENERGY AND SOLUTIONS,:,,tirupatisolar2020@gmail.com,8446707441,417,1540,2026-02-08T12:29:26.181526
MAHARASHTRA,Chhatrapati Sambhajinagar,UNIQUESOLAR,,,uniquesolarofficial@gmail.com,9673846530,408,1429,2026-02-08T12:29:27.703145
MAHARASHTRA,Chhatrapati Sambhajinagar,TRISKELION INDUSTREIS PVT LTD,,,ind4111@gmail.com,7875044111,399,1297,2026-02-08T12:29:29.240658
MAHARASHTRA,Chhatrapati Sambhajinagar,SADGURU KRUPA SOLAR SHOPEE,,,sadgurusolar9527@gmail.com,9834220329,396,1285,2026-02-08T12:29:30.751355
MAHARASHTRA,Chhatrapati Sambhajinagar,UNIVERSAL SOLAR SERVICES,,,usa1solar@gmail.com,8600067567,354,1207,2026-02-08T12:29:32.243650
MAHARASHTRA,Chhatrapati Sambhajinagar,GLOBALSUN POWER TECHNOLOGIES PVT LTD,:,,globalsunpt@gmail.com,9860951695,341,1182,2026-02-08T12:29:33.746689
MAHARASHTRA,Chhatrapati Sambhajinagar,MAROTI ELECTRICAL AND CONTRACTORS,,,marotielectricalsolar@gmail.com,9168047079,323,1078,2026-02-08T12:29:35.211684
MAHARASHTRA,Chhatrapati Sambhajinagar,SUDARSHAN SAUR SHAKTI PVT LTD,,,spv@sudarshansaur.com,8805356262,291,1050,2026-02-08T12:29:36.882911
MAHARASHTRA,Chhatrapati Sambhajinagar,SUNSHINE SOLAR AURANGABAD,,,sunshinesolar222@gmail.com,9404483824,284,1052,2026-02-08T12:29:38.543395
MAHARASHTRA,Chhatrapati Sambhajinagar,CORPORATE RENEWABLES PVT LTD (FORMERLY KNOWN AS CORPORATE ASSOCIATE),:,,corporaterenewables2@gmail.com,9028018622,281,1074,2026-02-08T12:29:40.048272
MAHARASHTRA,Chhatrapati Sambhajinagar,ARNAV ENTERPRISES,,,babavchavan@gmail.com,7588045966,268,904,2026-02-08T12:29:49.571974
MAHARASHTRA,Chhatrapati Sambhajinagar,AJINTHA INDUSTRIES PRIVATE LIMITED,:,,ajintha69@gmail.com,9372284302,258,1045,2026-02-08T12:29:51.246782
MAHARASHTRA,Chhatrapati Sambhajinagar,MATOSHRI ENTERPRISES,:,,matoshrimsedcl@gmail.com,7620746403,257,841,2026-02-08T12:29:52.632132
MAHARASHTRA,Chhatrapati Sambhajinagar,KOMAL ENTERPRISES,,,komalenterprises4803@gmail.com,9834642705,256,847,2026-02-08T12:29:54.117825
MAHARASHTRA,Chhatrapati Sambhajinagar,SERVOTECH POWER SYSTEMS LIMITED,,,pmsuryaghar@servotechindia.com,9266918120,251,864,2026-02-08T12:29:55.559397
MAHARASHTRA,Chhatrapati Sambhajinagar,SAGAR ELECTRICAL AND LIGHT INDUSTRIES,,,sagarelectrical3@gmail.com,8806194619,246,815,2026-02-08T12:29:57.337111
MAHARASHTRA,Chhatrapati Sambhajinagar,POWERCON,,,sales@powerconindia.com,9766649993,244,866,2026-02-08T12:29:58.943762
MAHARASHTRA,Chhatrapati Sambhajinagar,BITAPLUS SOLAR ENERGY,,,bitaplussolar@gmail.com,8408860765,240,800,2026-02-08T12:30:00.305277
MAHARASHTRA,Chhatrapati Sambhajinagar,SUNGRID SOLAR POWER ENERGY,,,sungridsolarenergy@gmail.com,8999257074,239,790,2026-02-08T12:30:01.902259
MAHARASHTRA,Chhatrapati Sambhajinagar,DESAI MULTI SERVICES,,,jdesai1@gmail.com,7743956935,237,838,2026-02-08T12:30:03.563391
MAHARASHTRA,Chhatrapati Sambhajinagar,UV GREEN POWER,,,uvgreenpower@gmail.com,9860982572,222,755,2026-02-08T12:30:05.045424
MAHARASHTRA,Chhatrapati Sambhajinagar,RUDRAM ELECTRICAL & ENGINEER\'S,,,mayurrandhe153@gmail.com,8208400550,221,782,2026-02-08T12:30:06.562957
MAHARASHTRA,Chhatrapati Sambhajinagar,POWER SOLUTIONS,,,rameshrajole0@gmail.com,9890722367,218,728,2026-02-08T12:30:08.164848
MAHARASHTRA,Chhatrapati Sambhajinagar,OSCILLATION ENERGY LLP,,,oscillationenergy@gmail.com,8329840186,217,731,2026-02-08T12:30:09.621414
MAHARASHTRA,Chhatrapati Sambhajinagar,SHRI MULTI SERVICES,,,atmaramdhakne@gmail.com,9823058123,215,719,2026-02-08T12:30:11.097845
MAHARASHTRA,Chhatrapati Sambhajinagar,AASTHA ENTERPRISES,,,pramodsingh2280@gmail.com,8308807796,214,700,2026-02-08T12:30:12.628913
MAHARASHTRA,Chhatrapati Sambhajinagar,SANJIVAN SOLAR PVT. LTD.,,,sanjivansolar3355@gmail.com,8446816210,211,757,2026-02-08T12:30:14.259159
MAHARASHTRA,Chhatrapati Sambhajinagar,BATTERY JUNCTION,,,nitinkapoor996@gmail.com,8180990099,206,704,2026-02-08T12:30:15.762869
MAHARASHTRA,Chhatrapati Sambhajinagar,DAYSTAR GREEN ENERGY,,,daystargreenenergy@gmail.com,9665260795,205,742,2026-02-08T12:30:17.311362
MAHARASHTRA,Chhatrapati Sambhajinagar,BIRATECH ELECTRICALS,,,akashbirare55@gmail.com,9765452708,205,687,2026-02-08T12:30:18.808961
MAHARASHTRA,Chhatrapati Sambhajinagar,SOLART RENEWABLE ENERGY SYSTEMS,,,solart@gmail.com,9823157987,202,789,2026-02-08T12:30:27.005427
MAHARASHTRA,Chhatrapati Sambhajinagar,ARUNA MARKETING AND SERVICES,,,arunamarketing9@gmail.com,9158539999,201,674,2026-02-08T12:30:28.740520
MAHARASHTRA,Chhatrapati Sambhajinagar,ENERGYSCAPE,,,energyscape1008@gmail.com,8087801008,186,601,2026-02-08T12:30:30.052750
MAHARASHTRA,Chhatrapati Sambhajinagar,SAI ENTERPRISES CHHATRAPATI SAMBHAJINAGAR,:,,suryakiransolar2021@gmail.com,9823230447,185,664,2026-02-08T12:30:31.473716
MAHARASHTRA,Chhatrapati Sambhajinagar,ROHINI SYSTEM,,,tupems@gmail.com,9422703088,184,654,2026-02-08T12:30:32.820875
MAHARASHTRA,Chhatrapati Sambhajinagar,MAJESTIC SOLAR,,,bagban@gmail.com,9552786063,184,613,2026-02-08T12:30:34.382805
MAHARASHTRA,Chhatrapati Sambhajinagar,TOSHIWA SOLAR PVT LTD,,,toshiwamseb@gmail.com,8370083702,181,579,2026-02-08T12:30:35.990507
MAHARASHTRA,Chhatrapati Sambhajinagar,ACHIEVERS ENGINEERING,,,jubershaikh850@gmail.com,7057695726,180,625,2026-02-08T12:30:37.675216
MAHARASHTRA,Chhatrapati Sambhajinagar,TULSAI ENTERPRISES,,,tulsaielectricalservices@gmail.com,9665588873,177,616,2026-02-08T12:30:39.230287
MAHARASHTRA,Chhatrapati Sambhajinagar,RESONANT TECHNOLOGIES,,,technologies11@gmail.com,9404405152,175,606,2026-02-08T12:30:40.771568
MAHARASHTRA,Chhatrapati Sambhajinagar,HEERA SOLAR POWER,,,heerasolarpower@gmail.com,9518959105,174,585,2026-02-08T12:30:42.456254
MAHARASHTRA,Chhatrapati Sambhajinagar,UNITED GENSETS PVT. LTD,,,unityunited@gmail.com,9552576768,172,593,2026-02-08T12:30:43.973396
MAHARASHTRA,Chhatrapati Sambhajinagar,URJA SAUR ELECTRONICS,,,urjasaurlight@gmail.com,9561154351,170,606,2026-02-08T12:30:45.571903
MAHARASHTRA,Chhatrapati Sambhajinagar,LONDHE ELECTRICALS,,,londheelectricals@gmail.com,8888985864,170,592,2026-02-08T12:30:47.066526
MAHARASHTRA,Chhatrapati Sambhajinagar,POONAM ENERGY PROWESS,,,poonamenergyp@gmail.com,9529496379,168,553,2026-02-08T12:30:48.512890
MAHARASHTRA,Chhatrapati Sambhajinagar,OM AGENCIES AURANGABAD,,,dbmagar003@gmail.com,9423393107,167,572,2026-02-08T12:30:49.990492
MAHARASHTRA,Chhatrapati Sambhajinagar,PRABHULILA ELECTRICAL,,,prabhuleelasolar@gmail.com,9421401599,164,545,2026-02-08T12:30:51.393350
MAHARASHTRA,Chhatrapati Sambhajinagar,FREYR ENERGY SERVICES PVT LTD,,,liaising@freyrenergy.com,9154024405,164,580,2026-02-08T12:30:52.809491
MAHARASHTRA,Chhatrapati Sambhajinagar,FRIENDS ELECTRONICS AURANGABAD,:,,friends_tabp@yahoo.com,9657054552,160,637,2026-02-08T12:30:54.300175
MAHARASHTRA,Chhatrapati Sambhajinagar,S.B. SOLAR SYSTEMS,,,sbsolarlatur@gmail.com,8275453123,158,590,2026-02-08T12:30:55.697327
MAHARASHTRA,Chhatrapati Sambhajinagar,PATIL ELECTROMECH SOLAR ENERGIES PVT. LTD.,,,patilelectromech2016@gmail.com,9420264872,157,540,2026-02-08T12:31:05.160210
MAHARASHTRA,Chhatrapati Sambhajinagar,CHAITANYA SOLAR ENERGY,,,chaitanyasolar88@gmail.com,7588642030,157,540,2026-02-08T12:31:06.677986
MAHARASHTRA,Chhatrapati Sambhajinagar,JYOTIRMAY SOLAR PRIVATE LIMITED,,,vijayjain@jyotirmaysolar.com,9823059605,155,490,2026-02-08T12:31:08.302604
MAHARASHTRA,Chhatrapati Sambhajinagar,RM ENERGY SOLUTIONS,,,rmenergy7@gmail.com,7276777363,153,501,2026-02-08T12:31:09.875271
MAHARASHTRA,Chhatrapati Sambhajinagar,BLACKSMITH GROUP,,,groupblacksmith9@gmail.com,9049299375,152,548,2026-02-08T12:31:11.664305
MAHARASHTRA,Chhatrapati Sambhajinagar,SHARANYA POWER CORPORATION,,,sharanyapowercorporation9021@gmail.com,7385430672,150,540,2026-02-08T12:31:13.195076
MAHARASHTRA,Chhatrapati Sambhajinagar,RISHI SOLAR ENERGY,,,dubeyrishabh051@gmail.com,7020462276,150,508,2026-02-08T12:31:14.773559
MAHARASHTRA,Chhatrapati Sambhajinagar,BASAIYE INFRASTRUCTURE,,,basaiyeinfra@gmail.com,9922848829,149,536,2026-02-08T12:31:16.252469
MAHARASHTRA,Chhatrapati Sambhajinagar,ECOSPARX INDIA,,,india@gmail.com,9011629707,147,496,2026-02-08T12:31:18.014962
MAHARASHTRA,Chhatrapati Sambhajinagar,INNOVATIVE ELECTRICALS GROUP,,,innovativeelectricals1@gmail.com,9421808229,141,498,2026-02-08T12:31:19.623494
MAHARASHTRA,Chhatrapati Sambhajinagar,BRITE SOLAR,,,mandeepbindra2781@gmail.com,9579998880,138,496,2026-02-08T12:31:21.248179
