state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
ODISHA,Kalahandi,CLEAN & GREEN SOLAR ENERGY SOLUTIONS,:,,ssaw793@gmail.com,7978302260,268,863,2026-02-08T15:48:32.509489
ODISHA,Kalahandi,PRATEEK SOLAR,:,,PRATEEKSOLAR13@GMAIL.COM,8280316530,166,543,2026-02-08T15:48:33.979711
ODISHA,Kalahandi,BENIGNANT POWER PRIVATE LIMITED,,,BENIGNANTPOWER@GMAIL.COM,6371281130,55,174,2026-02-08T15:48:35.723480
ODISHA,Kalahandi,SNOWBALL BUSINESS POINT,,,snowballsolar@gmail.com,7008155187,41,133,2026-02-08T15:48:37.335391
ODISHA,Kalahandi,5S ENERGY,:,,5senergyofficial@gmail.com,9556199895,26,80,2026-02-08T15:48:38.643610
ODISHA,Kalahandi,SAHIL TRADERS,,,sahiltraders69@gmail.com,7077009372,25,82,2026-02-08T15:48:40.336647
ODISHA,Kalahandi,POWERTECH SOLUTIONS,:,,sbp@gmail.com,9692006611,22,78,2026-02-08T15:48:41.666399
ODISHA,Kalahandi,M/S ROSNI ENTERPRISES,,,rosni@gmail.com,7978743099,21,68,2026-02-08T15:48:43.134211
ODISHA,Kalahandi,BK ENERGY SOLUTIONS,,,jsg@gmail.com,9040202535,18,56,2026-02-08T15:48:44.636065
ODISHA,Kalahandi,IND SOLPOWER,,,indsolpower94@gmail.com,9437455509,15,50,2026-02-08T15:48:46.348835
ODISHA,Kalahandi,SOLOTECH GREEN ENERGY,,,solotechgreenenergy@gmail.com,7978743425,14,45,2026-02-08T15:48:47.903180
ODISHA,Kalahandi,S.S. TRADING,,,santasa04@gmail.com,9861809879,13,42,2026-02-08T15:48:49.595849
ODISHA,Kalahandi,POWER TECH SOLAR,,,arpannayak38@gmail.com,9090515562,13,42,2026-02-08T15:48:51.297607
ODISHA,Kalahandi,ARJI ENTERPRISES,:,,solar@gmail.com,9692530356,11,41,2026-02-08T15:48:53.086854
