state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
MAHARASHTRA,Kolhapur,SHREYA ENTERPRISES,:,,shreyaent1313@gmail.com,9763152452,1262,4246,2026-02-08T13:04:48.008383
MAHARASHTRA,Kolhapur,SANJEEVANI ENTERPRISES,,,sanjeevanienterprises@gmail.com,9730193237,838,2856,2026-02-08T13:04:49.428513
MAHARASHTRA,Kolhapur,SUSHAM DISTRIBUTION,,,Susham_distributor@rediffmail.com,9423286241,641,2201,2026-02-08T13:04:51.058611
MAHARASHTRA,Kolhapur,SNEH ENTERPRISES,,,snehenterprises1014@gmail.com,7769055899,558,1948,2026-02-08T13:04:52.523668
MAHARASHTRA,Kolhapur,SHREE SADGURU SOLAR SHOPEE,,,shreesadgurusolar@gmail.com,9697529796,493,1773,2026-02-08T13:04:54.192785
MAHARASHTRA,Kolhapur,AKSHAY ENERGY,,,akshayenergy@gmail.com,9850092300,413,1386,2026-02-08T13:04:55.897799
MAHARASHTRA,Kolhapur,ANAND AGENCIES,,,anandagencieskop@gmail.com,9511706156,365,1286,2026-02-08T13:04:57.479168
MAHARASHTRA,Kolhapur,MS TEJOMAY POWER SOLUTIONS,,,tejomaypower@gmail.com,9422046343,348,1288,2026-02-08T13:04:59.103495
MAHARASHTRA,Kolhapur,LAXMI AGRO ENERGY PVT LTD,,,Laxsopumps@laxmisolar.com,8605004403,336,1037,2026-02-08T13:05:00.508004
MAHARASHTRA,Kolhapur,GREENTECH ENGINEERING AND SOLAR SOLUTIONS,:,,greentechsolarsolutions@gmail.com,9421286949,335,1281,2026-02-08T13:05:01.940896
MAHARASHTRA,Kolhapur,GREENMARK TECHNOLOGIES PVT. LTD.,:,,greenmarktech@gmail.com,8830218150,318,1123,2026-02-08T13:05:03.209248
MAHARASHTRA,Kolhapur,SOLARSQUARE ENERGY PRIVATE LIMITED,,,nationalportal@solarsquare.in,9830003000,296,1017,2026-02-08T13:05:04.911782
MAHARASHTRA,Kolhapur,CONSERVIT POWER SOLUTION PRIVATE LIMITED.,:,,info@conservit.in,9270802002,294,810,2026-02-08T13:05:06.373073
MAHARASHTRA,Kolhapur,CONTINUAL RENEWABLE ENERGY PVT LTD,,,jangam@crepl.co,7798389715,277,884,2026-02-08T13:05:08.082823
MAHARASHTRA,Kolhapur,SUNTAKE SOLAR SYSTEM,,,suntakesolarsystem@gmail.com,8007618187,276,938,2026-02-08T13:05:09.377445
MAHARASHTRA,Kolhapur,SUPREME SOLAR DISTRIBUTOR,,,ningarani@gmail.com,8421216993,265,917,2026-02-08T13:05:10.814161
MAHARASHTRA,Kolhapur,P SQUARE INCORPORATED,,,pankajdandekar@gmail.com,9422044323,244,811,2026-02-08T13:05:12.565566
MAHARASHTRA,Kolhapur,SUNVOLT ENTERPRISES,:,,vikrantpatil1404@gmail.com,9225819909,222,732,2026-02-08T13:05:14.176451
MAHARASHTRA,Kolhapur,DOSHI DIESELS,:,,doshidiesels@gmail.com,9420883808,214,797,2026-02-08T13:05:15.732796
MAHARASHTRA,Kolhapur,MS MB ENTERPRISES,,,mbenterprises769@gmail.com,8380920943,206,723,2026-02-08T13:05:17.169479
MAHARASHTRA,Kolhapur,MS MK CONSULTING ENGINEERS,,,mkcengineers17@gmail.com,8999664793,199,683,2026-02-08T13:05:27.139704
MAHARASHTRA,Kolhapur,N BROTHERS SOLAR ENERGY SOLUTIONS,,,nbrotherssolarenergysol@gmail.com,9158006525,179,605,2026-02-08T13:05:28.655602
MAHARASHTRA,Kolhapur,SOLAR TECHNOLOGIES,:,,soltechno@outlook.com,7620762036,176,669,2026-02-08T13:05:30.202537
MAHARASHTRA,Kolhapur,MAHALAXMI GREEN ENERGY,,,mgekolhapur@gmail.com,9922352352,168,585,2026-02-08T13:05:31.850562
MAHARASHTRA,Kolhapur,GOLDENRAY POWER & ENERGY PVT. LTD.,,,Hrishistiwari@outlook.com,9225520444,167,638,2026-02-08T13:05:33.373230
MAHARASHTRA,Kolhapur,AADITYA SOLAR SHOP,,,sagarpatil6161@gmail.com,9561746161,167,596,2026-02-08T13:05:34.846182
MAHARASHTRA,Kolhapur,GREEN POWER ENERGY,,,greenpowerenergy2024@gmail.com,8600276066,160,513,2026-02-08T13:05:36.468678
MAHARASHTRA,Kolhapur,ADITYA SRUSHTI SERVICES,,,vivekkoP@gmail.com,9422622322,160,564,2026-02-08T13:05:37.894916
MAHARASHTRA,Kolhapur,SHRI DATTA ENGINEERS AND CONTRACTORS,,,shridattaengcontractor@gmail.com,9673369607,152,543,2026-02-08T13:05:39.402460
MAHARASHTRA,Kolhapur,SUNEARTH SOLAR ENERGY SYSTEM,,,sunearth10@gmail.com,7774005927,145,434,2026-02-08T13:05:40.978319
MAHARASHTRA,Kolhapur,NIHA ELECTRICALS SANGLI,,,rsutar002@gmail.com,9011091692,145,475,2026-02-08T13:05:42.395566
MAHARASHTRA,Kolhapur,AJINKYA INFRASTRUCTURE PROJECTS,,,AJINKYAINFRA@GMAIL.COM,9373979779,143,479,2026-02-08T13:05:43.990705
MAHARASHTRA,Kolhapur,VIBGYOR ENGINEERS,,,vibgyorengineers@gmail.com,9623915660,138,472,2026-02-08T13:05:45.625293
MAHARASHTRA,Kolhapur,SHANTISAGAR SALES & SERVICES,,,Balgondapatil81027@gmail.com,9822376377,135,452,2026-02-08T13:05:47.178909
MAHARASHTRA,Kolhapur,NISARG ENVIRO SERVICES,,,nisargenviro@gmail.com,9922241599,135,444,2026-02-08T13:05:48.882690
MAHARASHTRA,Kolhapur,MS YASHOLAKSHMI CONSTRUCTIONS PVT LTD,,,info@renewgreen.in,8899771107,132,452,2026-02-08T13:05:50.392830
MAHARASHTRA,Kolhapur,ORBIT GREEN POWER TECHNOLOGY,:,,orbitgpt22@gmail.com,9763246164,129,434,2026-02-08T13:05:51.978531
MAHARASHTRA,Kolhapur,ADITYA SOLAR SALES AND SERVICE,,,adityasolar2012@gmail.com,9850794536,129,440,2026-02-08T13:05:53.613482
MAHARASHTRA,Kolhapur,SAMEER ELECTRIC AND AGENCY,,,saya00786@gmail.com,9595227070,123,426,2026-02-08T13:05:55.043116
MAHARASHTRA,Kolhapur,GREENSUN SOLUTIONS,,,suhasgreensun@gmail.com,9370618212,120,473,2026-02-08T13:05:56.640883
MAHARASHTRA,Kolhapur,SHIVSHAKTI ENTERPRISES,,,shivshaktienterpriseskop@gmail.com,7391969896,118,388,2026-02-08T13:06:05.144019
MAHARASHTRA,Kolhapur,SWAPNAGANDHA ELECTRONICS AND ELECTRICALS,,,pradip_4131@rediffmail.com,9890848840,116,396,2026-02-08T13:06:06.714928
MAHARASHTRA,Kolhapur,AVI ASSOCAITES,,,solararc38@gmail.com,8788275659,113,390,2026-02-08T13:06:08.087637
MAHARASHTRA,Kolhapur,SAMARTH ENTERPRISES,,,samarthenterprises9039@gmail.com,9822089039,112,400,2026-02-08T13:06:09.585125
MAHARASHTRA,Kolhapur,SAMMED SALES,,,sammedsolar@rediffmail.com,9423042371,110,379,2026-02-08T13:06:11.159655
MAHARASHTRA,Kolhapur,P & G TRADING COMPANY,,,naikaihsas61@gmail.com,9422416161,109,352,2026-02-08T13:06:12.593387
MAHARASHTRA,Kolhapur,BARGALE ENERGY SOLUTIONS,,,bargaleenergysolutions@gmail.com,7020198026,109,368,2026-02-08T13:06:14.072001
MAHARASHTRA,Kolhapur,SIGMA SALES AND SERVICES,,,desigmasales@gmail.com,8275001566,107,351,2026-02-08T13:06:15.845676
MAHARASHTRA,Kolhapur,FREVOLT GREEN ENERGY TECHNOLOGIES PVT LTD,,,sanket@frevolt.co,7822051295,101,344,2026-02-08T13:06:17.568537
MAHARASHTRA,Kolhapur,SV SOLAR ENERGY,,,ganeshkothalikar2424@gmail.com,7741942915,99,322,2026-02-08T13:06:19.375661
MAHARASHTRA,Kolhapur,MS VIBHA ENTERPRISES,,,vibhaenterprises35@gmail.com,8483823537,96,357,2026-02-08T13:06:20.932435
MAHARASHTRA,Kolhapur,HARIPRIYA ELECTRICAL & ENTERPRISES,,,haripriyaelectrical03@gmail.com,8552993785,91,301,2026-02-08T13:06:22.608050
MAHARASHTRA,Kolhapur,S M ENERGY,,,smenergy@gmail.com,7387634144,88,281,2026-02-08T13:06:24.442491
MAHARASHTRA,Kolhapur,OM SOLAR AGENCIES,,,omsolaragencies@gmail.com,9011762080,81,276,2026-02-08T13:06:25.991677
MAHARASHTRA,Kolhapur,PARSHWANATH ENTERPRISES,,,avinashait1995@gmail.com,7057897108,80,254,2026-02-08T13:06:27.468798
MAHARASHTRA,Kolhapur,SUNRASHTRA,,,sunrashtrasolar@gmail.com,9067574054,77,268,2026-02-08T13:06:29.001722
MAHARASHTRA,Kolhapur,SOLAR VISION AGRO INDUSTRIES,,,sunpowersolar2@gmail.com,9422046744,77,266,2026-02-08T13:06:30.614829
MAHARASHTRA,Kolhapur,INFINITY SOLAR TECHNOLOGY,,,infinitysolar0123@gmail.com,7741007524,75,242,2026-02-08T13:06:32.251646
MAHARASHTRA,Kolhapur,VANDANAM SMARTTECH PRIVATE LIMITED,,,magdum@gmail.com,7411888822,74,241,2026-02-08T13:06:33.727501
MAHARASHTRA,Kolhapur,V I ENTERPRISES,,,vienterprises009@gmail.com,8408921551,74,264,2026-02-08T13:06:35.245726
