state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
RAJASTHAN,Jodhpur,OV ENTERPRISES,:,,ovsolarenergy@gmail.com,9717459459,625,2365,2026-02-08T17:23:00.316239
RAJASTHAN,Jodhpur,GANPATI SOLAR,,,ganpatisolarjodhpur@gmail.com,9602025930,360,1584,2026-02-08T17:23:01.924135
RAJASTHAN,Jodhpur,RAMA REFLECTION INDIA,,,ramareflectionindia@gmail.com,9099973475,299,1565,2026-02-08T17:23:03.231601
RAJASTHAN,Jodhpur,ABHAY POWER SOLUTIONS,,,abhaypowersolutions@gmail.com,9664463558,282,1413,2026-02-08T17:23:04.756210
RAJASTHAN,Jodhpur,KROSS CITY SOLAR,,,krosscity@gmail.com,9928654440,249,1169,2026-02-08T17:23:06.421264
RAJASTHAN,Jodhpur,P&G SOLAR ENERGY,,,powergreensolarenergy@gmail.com,9782390560,226,1193,2026-02-08T17:23:08.028222
RAJASTHAN,Jodhpur,RAJU BATTERY AND SOLAR SYSTEM,,,rajubattery0051@gmail.com,9251704151,215,896,2026-02-08T17:23:09.606254
RAJASTHAN,Jodhpur,ANMOL TRADING COMPANY,,,anmolsolarjodhpur@gmail.com,7339741352,196,628,2026-02-08T17:23:10.994246
RAJASTHAN,Jodhpur,VIDHYUT ENERGY SYSTEMS,,,vidyutenergy@gmail.com,8696486963,191,996,2026-02-08T17:23:12.586499
RAJASTHAN,Jodhpur,SUNCITY GREEN ENERGY,,,suncitygreenenergyjodhpur@gmail.com,9001908533,189,673,2026-02-08T17:23:13.923628
RAJASTHAN,Jodhpur,S D POWER SOLUTIONS,,,sdpowersolutions90@gmail.com,9414849599,179,1027,2026-02-08T17:23:15.551244
RAJASTHAN,Jodhpur,SOLAR PULSE,,,solarpulseindia@gmail.com,8696222271,174,965,2026-02-08T17:23:17.052688
RAJASTHAN,Jodhpur,SHRINATH TRADING COMPANY,,,ksankhla02@gmail.com,9587178822,148,485,2026-02-08T17:23:18.600319
RAJASTHAN,Jodhpur,SUNSOLAR TECHNO,,,sunsolartechno9@gmail.com,9929220582,146,748,2026-02-08T17:23:20.146789
RAJASTHAN,Jodhpur,CHOUDHARY SOLAR ENERGY,,,CHOUDHARYSOLARENERGY@GMAIL.COM,9414242216,137,433,2026-02-08T17:23:21.633253
RAJASTHAN,Jodhpur,SUNCITY SOLAR TECHNOLOGY SOLAR WALA,,,solarwalababa@gmail.com,9782255582,131,501,2026-02-08T17:23:23.153704
RAJASTHAN,Jodhpur,G D ENGITECH,,,gorav15@gmail.com,7665844150,130,533,2026-02-08T17:23:24.625126
RAJASTHAN,Jodhpur,VSK ENTERPRISES,,,vsksolar@gmail.com,6350571791,126,434,2026-02-08T17:23:25.844735
RAJASTHAN,Jodhpur,MARUDHARA RENEWABLE ENERGY,,,marudhara1001@gmail.com,7742828768,125,413,2026-02-08T17:23:27.318477
RAJASTHAN,Jodhpur,PV & G ENGINEERS PVT. LTD.,,,pvgengineers@gmail.com,9829784345,112,588,2026-02-08T17:23:28.827055
RAJASTHAN,Jodhpur,INFINITY ENERGY SOLUTION,,,infinityenergyjodhpur@gmail.com,9664283039,111,557,2026-02-08T17:23:38.981810
RAJASTHAN,Jodhpur,RISING SUN ENTERPRISES,,,ankit@gmail.com,8302033517,110,471,2026-02-08T17:23:40.382018
RAJASTHAN,Jodhpur,KRISHNAPA CONSTRUCTION CO.,,,lokeshseervi@gmail.com,9602107303,108,392,2026-02-08T17:23:42.097779
RAJASTHAN,Jodhpur,SOLARWORLD,,,solarworld@gmail.com,9166777790,107,500,2026-02-08T17:23:43.808758
RAJASTHAN,Jodhpur,VINAYAK SOLAR,,,vinayaksolar99@gmail.com,9571236006,103,497,2026-02-08T17:23:45.550361
RAJASTHAN,Jodhpur,V K SOLAR AND WIND ENERGY,,,vksolar405@gmail.com,7737790405,99,475,2026-02-08T17:23:47.138966
RAJASTHAN,Jodhpur,ARUNODAY SOLAR,,,arunodaysolar68@gmail.com,8559930033,97,515,2026-02-08T17:23:48.711484
RAJASTHAN,Jodhpur,SEERVI ENTERPRISES,,,seervienterprises143@gmail.com,9928458143,91,307,2026-02-08T17:23:50.334141
RAJASTHAN,Jodhpur,SHRI BHADARIYA RAI SOLAR SERVICES,,,ajaypalsinghrawlot@gmail.com,9664011208,89,390,2026-02-08T17:23:51.779832
RAJASTHAN,Jodhpur,SIYAG INFRA ENERGY SERVICES,,,siyaginfra@gmail.com,7023090085,88,303,2026-02-08T17:23:53.513212
RAJASTHAN,Jodhpur,SUNLIGHT SOLAR SOLUTIONS,:,,sunlightsolarsolutions07@gmail.com,7737764880,83,360,2026-02-08T17:23:55.074135
RAJASTHAN,Jodhpur,HARSHALI POWER SOLUTION,,,harshalipowersolution@gmail.com,6350575759,83,377,2026-02-08T17:23:56.534934
RAJASTHAN,Jodhpur,VENUS RENEWABLES PRIVATE LIMITED,,,venusrenewables@gmail.com,8233717060,81,421,2026-02-08T17:23:57.931873
RAJASTHAN,Jodhpur,SHRI SUNDER SOLARS,,,shrisundersolars@gmail.com,9828122284,78,322,2026-02-08T17:23:59.389452
