state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
NCT OF DELHI,South West,ROSOL ENERGY PRIVATE LIMITED,,,rosolindia@gmail.com,8448446252,167,679,2026-02-08T15:26:56.181437
NCT OF DELHI,South West,ASTEROCK ENERGY PRIVATE LIMITED,:,,info@asterockenergy.com,8882470592,115,500,2026-02-08T15:26:57.656071
NCT OF DELHI,South West,MN ENERGY AND INFRA PRIVATE LIMITED,,,info@mnenergy.in,9220131444,63,222,2026-02-08T15:26:58.610156
NCT OF DELHI,South West,SUNDAY SOLAR POWER,,,sundaysolardelhi25@gmail.com,9971579381,60,232,2026-02-08T15:27:00.245886
NCT OF DELHI,South West,M K POWERTECH PRIVATE LIMITED,,,mkpowertechsolar@gmail.com,9319994775,51,187,2026-02-08T15:27:01.395514
NCT OF DELHI,South West,EASTERN LIGHT AND POWER PVT. LTD.,,,netmetering@itsmysun.com,9818230950,44,183,2026-02-08T15:27:02.721301
NCT OF DELHI,South West,GEOPOWER INDIA PRIVATE LIMITED,:,,GEOPOWERINDIA@GMAIL.COM,9999888118,38,152,2026-02-08T15:27:04.184644
NCT OF DELHI,South West,THERMOSUN ENGINEERING & POWER INDIA PVT. LTD.,,,thermosunpower@gmail.com,8077914097,36,149,2026-02-08T15:27:05.296852
NCT OF DELHI,South West,SOLARIUM GREEN ENERGY LIMITED,,,np@solariumenergy.in,9687133338,33,129,2026-02-08T15:27:06.183047
NCT OF DELHI,South West,ENERGIFIC SOLAR PRIVATE LIMITED,,,energificsolar@gmail.com,9599035315,27,128,2026-02-08T15:27:07.362978
NCT OF DELHI,South West,ISHI ENERGY AND INFRA PRIVATE LIMITED,,,info@ishisolar.com,9650046041,23,691,2026-02-08T15:27:09.012227
NCT OF DELHI,South West,SHRI NATH TRADING COMPANY,,,shrinathsolar01@gmail.com,9811002194,21,75,2026-02-08T15:27:10.623379
NCT OF DELHI,South West,GLOBAL SUN ENERGY SOLUTIONS,,,SALES@GLOBALSUNENERGY.IN,9911856774,18,81,2026-02-08T15:27:11.734195
NCT OF DELHI,South West,EKO SOLUTIONS INC,:,,Praveen@solarfieldsinc.com,9555251808,16,80,2026-02-08T15:27:13.077466
NCT OF DELHI,South West,LANSISO INNOVATION TECHNOLOGY,,,sarita@lansisotech.com,9310811200,15,77,2026-02-08T15:27:14.338271
NCT OF DELHI,South West,MODINDIA INFRATECH SOLUTIONS & TECHNICS,:,,projects@modindia.org,8802725007,14,56,2026-02-08T15:27:15.933542
NCT OF DELHI,South West,Y2 SOLAR,,,nitin@y2solar.com,8889997610,13,53,2026-02-08T15:27:17.201773
NCT OF DELHI,South West,SOLARSQUARE ENERGY PRIVATE LIMITED,,,nationalportal@solarsquare.in,9830003000,13,59,2026-02-08T15:27:18.705301
NCT OF DELHI,South West,JM SOLAR FARMER RENEWABLE ENERGY PVT. LTD.,:,,solarfarmer@gmail.com,9991114686,13,71,2026-02-08T15:27:20.269304
NCT OF DELHI,South West,ENERGEX SOLAR,,,anilsoni@energexsolar.in,9818481166,13,55,2026-02-08T15:27:21.803994
NCT OF DELHI,South West,DM ENTERPRISES,,,delhidmenterprises@gmail.com,9015197968,13,40,2026-02-08T15:27:29.475051
NCT OF DELHI,South West,SUNWAVE INFRATEL,,,arungupta@sunwaveinfratel.com,7428569431,12,55,2026-02-08T15:27:30.997398
NCT OF DELHI,South West,DELSIN POWER,,,delsinpower@gmail.com,9910135901,12,42,2026-02-08T15:27:32.466749
NCT OF DELHI,South West,ARPY RENEWABLES PRIVATE LIMITED,,,piyush@arpyrenewables.com,9971122890,12,275,2026-02-08T15:27:34.098873
NCT OF DELHI,South West,RINOVA SOLAR POWER PRIVATE LIMITED,,,ranjeet@rinovasolar.com,9910575389,11,42,2026-02-08T15:27:35.531506
NCT OF DELHI,South West,CUEBALL PRIVATE LIMITED,,,INFO@CUEBALL.CO,7838862065,11,53,2026-02-08T15:27:36.991842
