state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
ODISHA,Puri,SAP COMMUNICATION,,,sapsolarenergy@gmail.com,9937045379,73,221,2026-02-08T16:02:26.455264
ODISHA,Puri,KALINGA RENEWABLE ENERGY MANUFACTURERS PVT LTD,,,office@karma-tech.in,7908858076,60,190,2026-02-08T16:02:28.098038
ODISHA,Puri,MAHAPRABHU SOLAR ENERGY (OPC) PRIVATE LIMITED,,,PRADHAN@GMAIL.COM,9776044522,48,153,2026-02-08T16:02:29.662989
ODISHA,Puri,SARALA POWERTECH CONSULTING ENGINEERS LLP,,,sarpconurja@gmail.com,9937931318,42,135,2026-02-08T16:02:31.378394
ODISHA,Puri,SHREE TRADERS,,,shreetraders615@gmail.com,7008281667,31,98,2026-02-08T16:02:32.824161
ODISHA,Puri,POWER UP 2 0,,,0bbsr@gmail.com,9337512355,27,88,2026-02-08T16:02:34.454095
ODISHA,Puri,URJA GROUP OF COMPANY,,,sales@solarmaxo.com,9090976555,25,78,2026-02-08T16:02:35.939525
ODISHA,Puri,SHREE LINGARAJ DISTRIBUTORS,,,sahoorajakishore001@gmail.com,9658306017,22,69,2026-02-08T16:02:37.440254
ODISHA,Puri,BASANTI TRADERS,,,basantitraders21@gmail.com,9337652808,20,62,2026-02-08T16:02:38.907899
ODISHA,Puri,VHN SOLAR ENERGY PRIVATE LIMITED,:,,info@vihaansolar.com,8598800088,17,54,2026-02-08T16:02:40.479236
ODISHA,Puri,SIDDHARTH SOLAR ENERGY,,,chanda6291@gmail.com,9337322163,16,53,2026-02-08T16:02:42.091655
ODISHA,Puri,EKOKRAFT ENERGY SOLUTIONS PRIVATE LIMITED,,,ekokraftenergy@gmail.com,9724529047,15,49,2026-02-08T16:02:43.511904
ODISHA,Puri,SPARKRADIX INFRATECH PVT LTD,,,ghadai@sparkradix.in,8895070692,14,37,2026-02-08T16:02:45.135494
ODISHA,Puri,SANTOSH ENGINEERING SOLUTIONS,,,sesngrpvtltd@gmail.com,9777429909,12,36,2026-02-08T16:02:46.841662
ODISHA,Puri,GREEN AND EFFICIENT ENERGY SERVICES,,,bbsr@gmail.com,7978913281,12,39,2026-02-08T16:02:48.192740
ODISHA,Puri,NEXCORP INFRATEC PVT LTD,,,abhijeet@nexcorpgrintec.in,9692966626,11,32,2026-02-08T16:02:49.784197
ODISHA,Puri,MRJ ENGINEERING PRIVATE LIMITED,,,bbsr@mrjengg.com,9938244334,11,31,2026-02-08T16:02:51.318518
ODISHA,Puri,LIFE LINER PVT LTD,:,,lifeliner2020@gmail.com,6363654620,11,36,2026-02-08T16:02:52.682936
