state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
ODISHA,Ganjam,M/S GREENKLIN HOME APPLIANCES PRIVATE LIMITED,:,,greenklinhomeappliances@gmail.com,9938968694,335,1013,2026-02-08T15:43:50.074410
ODISHA,Ganjam,SEVAK SOLAR ENERGY (FORMERLY KNOWN AS SEVAK SOLAR ENERGY BERHAMPUR GANJAM),:,,sevaksolar@gmail.com,7328009100,251,751,2026-02-08T15:43:51.523529
ODISHA,Ganjam,EKOKRAFT ENERGY SOLUTIONS PRIVATE LIMITED,,,ekokraftenergy@gmail.com,9724529047,176,560,2026-02-08T15:43:52.500594
ODISHA,Ganjam,AXIOM COMPUTERS BERHAMPUR GANJAM,,,axiombbsrsb@gmail.com,7008354875,147,471,2026-02-08T15:43:54.029889
ODISHA,Ganjam,SUDARSANA PANDA,:,,auromeerae931@gmail.com,9437066374,140,461,2026-02-08T15:43:55.548383
ODISHA,Ganjam,MS ALLISON ELECTRONIC SOLUTION,:,,allisonelectronicsolutions@gmail.com,9658779927,138,396,2026-02-08T15:43:56.581861
ODISHA,Ganjam,OMM ENERGY SOLUTIONS,:,,manas_smart@yahoo.com,8448794277,91,284,2026-02-08T15:43:58.379957
ODISHA,Ganjam,M/S M M ASSOCIATE,:,,mmassociate90@gmail.com,8984040588,69,218,2026-02-08T15:43:59.830256
ODISHA,Ganjam,SANTOSH ENGINEERING SOLUTIONS,,,sesngrpvtltd@gmail.com,9777429909,64,203,2026-02-08T15:44:01.412945
ODISHA,Ganjam,M/S APC AGENCIES & CONSULTANCY PVT. LTD.,,,business@gmail.com,7064996655,55,170,2026-02-08T15:44:02.966681
ODISHA,Ganjam,HELIOUS ETERNAL ENERGY SOLUTION & CONSTRUCTION PVT. LTD. BERHAMPUR GANJAM,,,bishoyi@helious.co,8895743353,51,165,2026-02-08T15:44:04.033547
ODISHA,Ganjam,PAST VENTURE PRIVATE LIMITED,,,pastventure@gmail.com,7751014947,48,153,2026-02-08T15:44:05.585228
ODISHA,Ganjam,SAURA SHAKTI ENTERPRISES PVT LTD,,,Saurashakti70@gmail.com,6370083972,46,139,2026-02-08T15:44:07.034412
ODISHA,Ganjam,SHYAM ENERGY TECHNOLOGIES,:,,shyamenergytechnologies@gmail.com,7978259440,43,139,2026-02-08T15:44:08.704960
ODISHA,Ganjam,PARBATI SOLAR ENERGY,,,parbatisolarenergy@gmail.com,7790006015,42,137,2026-02-08T15:44:10.413283
ODISHA,Ganjam,FORMONIK TECHNOLOGY PRIVATE LIMITED,:,,support@formonik.com,9937514136,34,109,2026-02-08T15:44:11.848790
ODISHA,Ganjam,GENII ENGINEERING AND SERVICES PVT LTD,,,info@genii.co,8338041414,33,95,2026-02-08T15:44:13.390345
ODISHA,Ganjam,MANONANDA SOLAR ENERGY PVT LTD,,,manonanda2024@gmail.com,7008839978,32,94,2026-02-08T15:44:14.857817
ODISHA,Ganjam,JSME ENERGY & POWER,:,,sales@jsmentp.com,9437060806,31,110,2026-02-08T15:44:16.081235
ODISHA,Ganjam,KAMINI INFRASTRUCTURE AND DEVELOPERS,,,info@kaminiinfrastructure.com,9861598382,30,93,2026-02-08T15:44:17.763334
ODISHA,Ganjam,MOHANTY ELECTRICAL CONSTRUCTION BERHAMPUR GANJAM,:,,mohantyelectricalconstruction@gmail.com,9437203605,29,94,2026-02-08T15:44:25.474140
ODISHA,Ganjam,MAHALAXMI ENTERPRISE,:,,bibhutilenka72@gmail.com,8260040640,26,67,2026-02-08T15:44:27.179825
ODISHA,Ganjam,MS ABHIRUCHI ENTERPRISES,,,solar@abhiruchigroup.com,9132912345,23,67,2026-02-08T15:44:28.912104
ODISHA,Ganjam,KALINGA RENEWABLE ENERGY MANUFACTURERS PVT LTD,,,office@karma-tech.in,7908858076,16,51,2026-02-08T15:44:30.570313
ODISHA,Ganjam,DLOKNETWORKS PRIVATE LIMITED,,,chhatar@dlok.in,9953306046,16,43,2026-02-08T15:44:32.157679
ODISHA,Ganjam,G K AND SONS ENGINEERING,:,,gkandsonseng@gmail.com,9938841907,15,49,2026-02-08T15:44:33.656699
ODISHA,Ganjam,URJA GROUP OF COMPANY,,,sales@solarmaxo.com,9090976555,14,39,2026-02-08T15:44:35.144309
ODISHA,Ganjam,DEVANSH ENTERPRISES,,,devanshenterprisesbbsr@gmail.com,8895629875,14,48,2026-02-08T15:44:36.575626
ODISHA,Ganjam,ARC ENGINEERING,,,arcengineering2024@gmail.com,8117948103,14,45,2026-02-08T15:44:37.921871
ODISHA,Ganjam,BASANTI TRADERS,,,basantitraders21@gmail.com,9337652808,13,47,2026-02-08T15:44:39.581467
ODISHA,Ganjam,ZUNROOF TECH PVT LTD,,,gosolar@zunroof.com,9205893368,12,31,2026-02-08T15:44:41.223539
ODISHA,Ganjam,JAYAPRABHA ELECTRICALS AND ENGINEERS,,,jpee@gmail.com,8328943258,12,38,2026-02-08T15:44:42.760873
ODISHA,Ganjam,ARYAL SERVICES,,,aryalpreetamsahoo@gmail.com,9938517626,12,37,2026-02-08T15:44:44.395753
ODISHA,Ganjam,SANKALP ENTERPRISES,,,sankalpenterprisesodisha@gmail.com,6370770911,11,35,2026-02-08T15:44:45.846214
ODISHA,Ganjam,EPIC SOLAR SOLUTIONS,,,epicsolarbam@gmail.com,9090512312,11,31,2026-02-08T15:44:47.401080
