state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
ODISHA,Sonepur,SOLOTECH GREEN ENERGY,,,solotechgreenenergy@gmail.com,7978743425,171,563,2026-02-08T16:05:41.071725
ODISHA,Sonepur,HIRAKUD ENERGY,,,hirakudenergy@gmail.com,9437980101,149,511,2026-02-08T16:05:42.693441
ODISHA,Sonepur,SAURASHAKTI SOLAR,,,saurashaktisolar123@gmail.com,6371682657,99,319,2026-02-08T16:05:44.182469
ODISHA,Sonepur,SAI ELECTRONICS,,,partner@gmail.com,8917465225,35,113,2026-02-08T16:05:45.677684
ODISHA,Sonepur,POWERTECH SOLUTIONS,:,,sbp@gmail.com,9692006611,29,93,2026-02-08T16:05:47.016117
ODISHA,Sonepur,GENII ENGINEERING AND SERVICES PVT LTD,,,info@genii.co,8338041414,19,56,2026-02-08T16:05:48.550163
ODISHA,Sonepur,BANSAL SMART SOLUTIONS,:,,bansalsmartsolutions@gmail.com,7978127483,19,63,2026-02-08T16:05:50.106504
ODISHA,Sonepur,M/S SOLARX LINK,,,solarxlink@gmail.com,9475737775,18,57,2026-02-08T16:05:51.581194
ODISHA,Sonepur,BENIGNANT POWER PRIVATE LIMITED,,,BENIGNANTPOWER@GMAIL.COM,6371281130,17,50,2026-02-08T16:05:52.671755
ODISHA,Sonepur,SANTOSH ENGINEERING SOLUTIONS,,,sesngrpvtltd@gmail.com,9777429909,12,36,2026-02-08T16:05:53.985651
ODISHA,Sonepur,MANONANDA SOLAR ENERGY PVT LTD,,,manonanda2024@gmail.com,7008839978,12,32,2026-02-08T16:05:55.512476
ODISHA,Sonepur,KAMPA INFRA & RENEWABLE ENERGY DEVELOPERS PRIVATE LIMITED,:,,kampainfra@gmail.com,9937591330,12,38,2026-02-08T16:05:57.005208
ODISHA,Sonepur,SWOSTI POWERCON PRIVATE LIMITED,,,ceo@swostipowercon.com,9438408911,11,38,2026-02-08T16:05:58.265383
ODISHA,Sonepur,PURNAMASI ENTERPRISES,,,rajeshpurnamasi2@gmail.com,9937724419,11,35,2026-02-08T16:05:59.700448
